ROW_ID,Cluster,Anomaly Type,Top Deviating Features,Justification,Business Implication
2202.0,cluster_4,Tipe B - Rare but Valid,REGION_RATING_CLIENT_W_CITY=-2.04 (34.6x dari median) | CREDIT_TERM_MONTHS=2.17 (29.8x dari median) | EXT_SOURCE_3=1.68 (14.1x dari median) | PREV_APPROVAL_RATE=-0.69 (12.1x dari median) | AMT_CREDIT=1.49 (9.3x dari median),Keadaan ekstrem secara statistik namun masih masuk secara logika riil (Tail-end customer).,"Berpeluang cross-selling khusus untuk Very High Net Worth Individual, bila bukan risiko gagal bayar."
2368.0,cluster_3,Tipe A - Data Error,EXT_SOURCE_1=-3.24 (242.0x dari median) | EXT_SOURCE_3=-2.07 (19.6x dari median) | YEARS_BIRTH=-1.04 (7.3x dari median) | BUREAU_DAYS_CREDIT_MEAN=0.88 (6.8x dari median) | BUREAU_ACTIVE_RATIO=0.64 (4.9x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
2494.0,cluster_2,Tipe A - Data Error,YEARS_BIRTH=1.65 (53.9x dari median) | BUREAU_ACTIVE_RATIO=2.03 (35.5x dari median) | CREDIT_TERM_MONTHS=-1.62 (29.7x dari median) | BUREAU_DEBT_TO_CREDIT_RATIO=2.23 (28.4x dari median) | POS_MONTHS_COUNT=-0.85 (23.7x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
2685.0,cluster_4,Tipe A - Data Error,POS_SK_DPD_MEAN=27.97 (141.3x dari median) | EXT_SOURCE_3=-1.40 (13.5x dari median) | PREV_APPROVAL_RATE=-0.69 (12.1x dari median) | CC_MONTHS_COUNT=3.41 (8.8x dari median) | AMT_ANNUITY=-0.64 (8.6x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
2873.0,cluster_1,Tipe B - Rare but Valid,INST_SEVERE_LATE_RATIO=6.21 (37.9x dari median) | REGION_RATING_CLIENT_W_CITY=1.92 (34.6x dari median) | INST_DPD_MEAN=1.22 (11.7x dari median) | BUREAU_ACTIVE_RATIO=2.03 (10.8x dari median) | INST_LATE_RATIO=4.69 (8.5x dari median),Keadaan ekstrem secara statistik namun masih masuk secara logika riil (Tail-end customer).,"Berpeluang cross-selling khusus untuk Very High Net Worth Individual, bila bukan risiko gagal bayar."
3620.0,cluster_4,Tipe A - Data Error,CC_SK_DPD_MEAN=24.14 (485.8x dari median) | PREV_APPROVAL_RATE=-1.40 (25.7x dari median) | BUREAU_ACTIVE_RATIO=-1.11 (17.7x dari median) | BUREAU_DAYS_CREDIT_MEAN=-2.75 (17.0x dari median) | AMT_ANNUITY=-1.22 (15.5x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
4244.0,cluster_2,Tipe B - Rare but Valid,BUREAU_DAYS_CREDIT_MEAN=-2.15 (28.4x dari median) | YEARS_BIRTH=-0.62 (18.9x dari median) | BUREAU_ACTIVE_RATIO=-1.11 (17.7x dari median) | OWN_CAR_AGE=5.57 (13.2x dari median) | AMT_ANNUITY=-1.01 (8.8x dari median),Keadaan ekstrem secara statistik namun masih masuk secara logika riil (Tail-end customer).,"Berpeluang cross-selling khusus untuk Very High Net Worth Individual, bila bukan risiko gagal bayar."
4734.0,cluster_2,Tipe A - Data Error,POS_MONTHS_COUNT=3.71 (98.2x dari median) | YEARS_BIRTH=0.68 (22.9x dari median) | BUREAU_DAYS_CREDIT_MEAN=-1.59 (20.7x dari median) | AMT_REQ_CREDIT_BUREAU_YEAR=2.43 (18.5x dari median) | CREDIT_TERM_MONTHS=-0.94 (16.9x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
5028.0,cluster_4,Tipe B - Rare but Valid,PREV_APPROVAL_RATE=-2.34 (43.7x dari median) | AMT_ANNUITY=-3.10 (37.9x dari median) | BUREAU_ACTIVE_RATIO=-1.11 (17.7x dari median) | AMT_CREDIT=-1.98 (14.8x dari median) | AMT_INCOME_TOTAL=-3.26 (14.3x dari median),Keadaan ekstrem secara statistik namun masih masuk secara logika riil (Tail-end customer).,"Berpeluang cross-selling khusus untuk Very High Net Worth Individual, bila bukan risiko gagal bayar."
5206.0,cluster_4,Tipe A - Data Error,EXT_SOURCE_1=1.25 (92.0x dari median) | ANNUITY_TO_INCOME=1.88 (21.6x dari median) | PREV_APPROVAL_RATE=0.96 (19.4x dari median) | CREDIT_TO_INCOME=1.74 (12.1x dari median) | BUREAU_ACTIVE_RATIO=0.46 (8.9x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
5223.0,cluster_1,Tipe B - Rare but Valid,EXT_SOURCE_1=-0.53 (40.1x dari median) | INST_SEVERE_LATE_RATIO=3.19 (19.9x dari median) | BUREAU_DAYS_CREDIT_MEAN=1.45 (9.3x dari median) | EXT_SOURCE_3=-0.58 (6.2x dari median) | OWN_CAR_AGE=1.55 (4.4x dari median),Keadaan ekstrem secara statistik namun masih masuk secara logika riil (Tail-end customer).,"Berpeluang cross-selling khusus untuk Very High Net Worth Individual, bila bukan risiko gagal bayar."
5799.0,cluster_2,Tipe A - Data Error,POS_SK_DPD_MEAN=16.99 (243.7x dari median) | POS_MONTHS_COUNT=3.87 (102.5x dari median) | EXT_SOURCE_1=1.08 (79.2x dari median) | CREDIT_TERM_MONTHS=0.99 (19.7x dari median) | AMT_INCOME_TOTAL=1.79 (15.4x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
5815.0,cluster_4,Tipe A - Data Error,CC_SK_DPD_MEAN=14.38 (289.8x dari median) | CREDIT_TERM_MONTHS=1.67 (23.2x dari median) | PREV_APPROVAL_RATE=-0.87 (15.7x dari median) | EXT_SOURCE_3=-1.43 (13.8x dari median) | BUREAU_ACTIVE_RATIO=-0.79 (12.4x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
5975.0,cluster_0,Tipe A - Data Error,EXT_SOURCE_3=-2.08 (972.0x dari median) | EXT_SOURCE_1=-1.24 (93.3x dari median) | BUREAU_ACTIVE_RATIO=2.03 (35.5x dari median) | REGION_RATING_CLIENT_W_CITY=1.92 (34.6x dari median) | PREV_REFUSED_COUNT=3.45 (32.6x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
6039.0,cluster_4,Tipe A - Data Error,CC_SK_DPD_MEAN=8.78 (177.3x dari median) | REGION_RATING_CLIENT_W_CITY=-2.04 (34.6x dari median) | PREV_APPROVAL_RATE=-1.24 (22.7x dari median) | EXT_SOURCE_3=-2.04 (19.4x dari median) | BUREAU_ACTIVE_RATIO=0.73 (13.3x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
6503.0,cluster_4,Tipe B - Rare but Valid,REGION_RATING_CLIENT_W_CITY=1.92 (34.6x dari median) | POS_SK_DPD_MEAN=5.01 (24.5x dari median) | BUREAU_ACTIVE_RATIO=0.99 (17.7x dari median) | CREDIT_TERM_MONTHS=-1.05 (12.9x dari median) | ANNUITY_TO_INCOME=0.78 (9.5x dari median),Keadaan ekstrem secara statistik namun masih masuk secara logika riil (Tail-end customer).,"Berpeluang cross-selling khusus untuk Very High Net Worth Individual, bila bukan risiko gagal bayar."
6655.0,cluster_2,Tipe A - Data Error,CC_SK_DPD_MEAN=15.55 (313.4x dari median) | EXT_SOURCE_1=1.45 (106.3x dari median) | CREDIT_TERM_MONTHS=1.67 (32.7x dari median) | YEARS_BIRTH=0.51 (17.5x dari median) | BUREAU_ACTIVE_RATIO=-0.66 (10.1x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
7225.0,cluster_0,Tipe A - Data Error,EXT_SOURCE_3=-1.24 (580.5x dari median) | EXT_SOURCE_1=1.69 (124.8x dari median) | YEARS_EMPLOYED=3.43 (24.6x dari median) | BUREAU_COUNT=4.66 (16.9x dari median) | BUREAU_DEBT_TO_CREDIT_RATIO=0.48 (7.9x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
7614.0,cluster_1,Tipe A - Data Error,EXT_SOURCE_1=1.36 (99.9x dari median) | REGION_RATING_CLIENT_W_CITY=1.92 (34.6x dari median) | EXT_SOURCE_2=-1.47 (15.3x dari median) | BUREAU_DAYS_CREDIT_MEAN=-1.85 (14.1x dari median) | CNT_CHILDREN=2.21 (4.8x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
7745.0,cluster_0,Tipe A - Data Error,EXT_SOURCE_3=-0.73 (342.5x dari median) | REGION_RATING_CLIENT_W_CITY=-2.04 (34.6x dari median) | CREDIT_TERM_MONTHS=1.68 (33.1x dari median) | PREV_REFUSED_COUNT=3.45 (32.6x dari median) | BUREAU_ACTIVE_RATIO=-1.11 (17.7x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
7916.0,cluster_0,Tipe A - Data Error,EXT_SOURCE_3=-2.44 (1141.2x dari median) | PREV_REFUSED_COUNT=8.46 (81.5x dari median) | BUREAU_COUNT=7.08 (26.2x dari median) | CREDIT_TERM_MONTHS=0.58 (12.2x dari median) | YEARS_BIRTH=1.56 (9.8x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
8580.0,cluster_1,Tipe A - Data Error,EXT_SOURCE_1=-0.99 (74.8x dari median) | REGION_RATING_CLIENT_W_CITY=1.92 (34.6x dari median) | INST_DPD_MAX=3.36 (21.9x dari median) | INST_DPD_MEAN=2.05 (19.0x dari median) | INST_SEVERE_LATE_RATIO=3.02 (18.9x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
8629.0,cluster_2,Tipe B - Rare but Valid,EXT_SOURCE_1=0.48 (35.0x dari median) | YEARS_BIRTH=0.97 (32.1x dari median) | POS_MONTHS_COUNT=-0.85 (23.7x dari median) | YEARS_EMPLOYED=3.83 (19.0x dari median) | BUREAU_DEBT_TO_CREDIT_RATIO=1.21 (15.9x dari median),Keadaan ekstrem secara statistik namun masih masuk secara logika riil (Tail-end customer).,"Berpeluang cross-selling khusus untuk Very High Net Worth Individual, bila bukan risiko gagal bayar."
8715.0,cluster_2,Tipe A - Data Error,BUREAU_BB_SEVERE_DPD_MEAN=10.00 (196.4x dari median) | EXT_SOURCE_1=-1.71 (127.8x dari median) | BUREAU_BB_DPD_RATIO_MEAN=5.63 (29.9x dari median) | EXT_SOURCE_3=-2.94 (27.5x dari median) | POS_MONTHS_COUNT=-0.77 (21.6x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
10392.0,cluster_2,Tipe B - Rare but Valid,CREDIT_TERM_MONTHS=1.96 (38.2x dari median) | BUREAU_DAYS_CREDIT_MEAN=-1.30 (16.7x dari median) | POS_MONTHS_COUNT=-0.57 (16.2x dari median) | YEARS_EMPLOYED=2.62 (13.4x dari median) | BUREAU_DEBT_TO_CREDIT_RATIO=0.84 (11.3x dari median),Keadaan ekstrem secara statistik namun masih masuk secara logika riil (Tail-end customer).,"Berpeluang cross-selling khusus untuk Very High Net Worth Individual, bila bukan risiko gagal bayar."
10655.0,cluster_3,Tipe A - Data Error,BUREAU_BB_SEVERE_DPD_MEAN=7.01 (137.8x dari median) | EXT_SOURCE_1=0.78 (56.6x dari median) | BUREAU_BB_DPD_RATIO_MEAN=4.64 (24.9x dari median) | EXT_SOURCE_3=-1.26 (12.3x dari median) | BUREAU_DAYS_CREDIT_MEAN=-1.03 (10.2x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
10848.0,cluster_3,Tipe B - Rare but Valid,INST_SEVERE_LATE_RATIO=6.92 (42.1x dari median) | REGION_RATING_CLIENT_W_CITY=1.92 (34.6x dari median) | YEARS_EMPLOYED=3.78 (13.0x dari median) | INST_LATE_RATIO=4.29 (7.8x dari median) | INST_DPD_MEAN=0.75 (7.6x dari median),Keadaan ekstrem secara statistik namun masih masuk secara logika riil (Tail-end customer).,"Berpeluang cross-selling khusus untuk Very High Net Worth Individual, bila bukan risiko gagal bayar."
11873.0,cluster_3,Tipe A - Data Error,EXT_SOURCE_1=2.35 (173.4x dari median) | REGION_RATING_CLIENT_W_CITY=-2.04 (34.6x dari median) | YEARS_EMPLOYED=3.52 (12.2x dari median) | BUREAU_DAYS_CREDIT_MEAN=1.45 (11.9x dari median) | YEARS_BIRTH=1.14 (10.1x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
12007.0,cluster_2,Tipe A - Data Error,POS_MONTHS_COUNT=4.11 (109.0x dari median) | YEARS_BIRTH=1.28 (41.9x dari median) | CREDIT_TERM_MONTHS=1.96 (38.1x dari median) | YEARS_EMPLOYED=5.35 (26.2x dari median) | BUREAU_DAYS_CREDIT_MEAN=-1.28 (16.5x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
12177.0,cluster_4,Tipe B - Rare but Valid,PREV_APPROVAL_RATE=-2.34 (43.7x dari median) | EXT_SOURCE_3=-2.33 (21.9x dari median) | CREDIT_TERM_MONTHS=1.26 (17.7x dari median) | BUREAU_ACTIVE_RATIO=0.99 (17.7x dari median) | PREV_REFUSED_COUNT=3.45 (8.6x dari median),Keadaan ekstrem secara statistik namun masih masuk secara logika riil (Tail-end customer).,"Berpeluang cross-selling khusus untuk Very High Net Worth Individual, bila bukan risiko gagal bayar."
12354.0,cluster_2,Tipe A - Data Error,EXT_SOURCE_1=2.19 (161.5x dari median) | YEARS_BIRTH=1.35 (44.3x dari median) | CREDIT_TERM_MONTHS=1.27 (25.0x dari median) | AMT_REQ_CREDIT_BUREAU_YEAR=3.00 (23.2x dari median) | BUREAU_DAYS_CREDIT_MEAN=0.51 (8.0x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
12412.0,cluster_4,Tipe A - Data Error,POS_SK_DPD_MEAN=14.33 (71.9x dari median) | ANNUITY_TO_INCOME=3.31 (37.2x dari median) | PREV_APPROVAL_RATE=0.96 (19.4x dari median) | CREDIT_TERM_MONTHS=-1.51 (19.0x dari median) | BUREAU_ACTIVE_RATIO=-1.11 (17.7x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
12574.0,cluster_2,Tipe B - Rare but Valid,POS_MONTHS_COUNT=1.41 (36.7x dari median) | AMT_REQ_CREDIT_BUREAU_YEAR=3.58 (27.8x dari median) | PREV_REFUSED_COUNT=6.23 (14.7x dari median) | YEARS_BIRTH=-0.42 (12.4x dari median) | BUREAU_COUNT=2.02 (12.2x dari median),Keadaan ekstrem secara statistik namun masih masuk secara logika riil (Tail-end customer).,"Berpeluang cross-selling khusus untuk Very High Net Worth Individual, bila bukan risiko gagal bayar."
12638.0,cluster_2,Tipe A - Data Error,EXT_SOURCE_1=-2.28 (170.3x dari median) | YEARS_BIRTH=-1.19 (37.0x dari median) | EXT_SOURCE_3=-2.07 (19.6x dari median) | BUREAU_COUNT=2.46 (14.7x dari median) | EXT_SOURCE_2=-2.48 (10.2x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
12861.0,cluster_4,Tipe B - Rare but Valid,CREDIT_TERM_MONTHS=1.28 (18.0x dari median) | PREV_APPROVAL_RATE=-0.69 (12.1x dari median) | BUREAU_COUNT=1.36 (8.6x dari median) | AMT_ANNUITY=0.69 (7.2x dari median) | AMT_CREDIT=1.17 (7.2x dari median),Keadaan ekstrem secara statistik namun masih masuk secara logika riil (Tail-end customer).,"Berpeluang cross-selling khusus untuk Very High Net Worth Individual, bila bukan risiko gagal bayar."
13090.0,cluster_2,Tipe B - Rare but Valid,REGION_RATING_CLIENT_W_CITY=1.92 (34.6x dari median) | POS_MONTHS_COUNT=-1.13 (31.3x dari median) | EXT_SOURCE_1=-0.39 (29.9x dari median) | BUREAU_DAYS_CREDIT_MEAN=-1.14 (14.6x dari median) | EXT_SOURCE_3=-1.30 (12.6x dari median),Keadaan ekstrem secara statistik namun masih masuk secara logika riil (Tail-end customer).,"Berpeluang cross-selling khusus untuk Very High Net Worth Individual, bila bukan risiko gagal bayar."
13373.0,cluster_3,Tipe B - Rare but Valid,REGION_RATING_CLIENT_W_CITY=1.92 (34.6x dari median) | INST_SEVERE_LATE_RATIO=3.19 (19.9x dari median) | INST_DPD_MAX=2.75 (18.1x dari median) | INST_DPD_MEAN=1.81 (16.9x dari median) | EXT_SOURCE_3=1.63 (13.6x dari median),Keadaan ekstrem secara statistik namun masih masuk secara logika riil (Tail-end customer).,"Berpeluang cross-selling khusus untuk Very High Net Worth Individual, bila bukan risiko gagal bayar."
13547.0,cluster_0,Tipe A - Data Error,EXT_SOURCE_3=0.55 (256.2x dari median) | YEARS_EMPLOYED=2.70 (19.6x dari median) | PREV_REFUSED_COUNT=1.77 (16.3x dari median) | BUREAU_ACTIVE_RATIO=0.73 (13.3x dari median) | POS_MONTHS_COUNT=3.95 (11.4x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
13816.0,cluster_2,Tipe A - Data Error,EXT_SOURCE_1=-2.98 (222.3x dari median) | YEARS_BIRTH=-1.03 (32.0x dari median) | CREDIT_TERM_MONTHS=-1.30 (23.7x dari median) | EXT_SOURCE_3=-2.08 (19.7x dari median) | OWN_CAR_AGE=6.79 (15.9x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
14182.0,cluster_0,Tipe A - Data Error,EXT_SOURCE_1=2.38 (175.4x dari median) | EXT_SOURCE_3=0.11 (53.0x dari median) | BUREAU_ACTIVE_RATIO=2.03 (35.5x dari median) | REGION_RATING_CLIENT_W_CITY=-2.04 (34.6x dari median) | CREDIT_TERM_MONTHS=1.67 (33.0x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
14964.0,cluster_0,Tipe A - Data Error,EXT_SOURCE_3=-1.44 (673.9x dari median) | PREV_REFUSED_COUNT=6.23 (59.8x dari median) | EXT_SOURCE_1=-0.65 (49.6x dari median) | REGION_RATING_CLIENT_W_CITY=1.92 (34.6x dari median) | CREDIT_TERM_MONTHS=-0.79 (14.0x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
15298.0,cluster_4,Tipe A - Data Error,CC_SK_DPD_MEAN=14.31 (288.4x dari median) | ANNUITY_TO_INCOME=3.15 (35.5x dari median) | BUREAU_ACTIVE_RATIO=-1.11 (17.7x dari median) | AMT_INCOME_TOTAL=-3.03 (13.2x dari median) | CREDIT_TO_INCOME=1.49 (10.5x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
15501.0,cluster_3,Tipe A - Data Error,EXT_SOURCE_1=0.93 (67.9x dari median) | REGION_RATING_CLIENT_W_CITY=-2.04 (34.6x dari median) | YEARS_EMPLOYED=4.62 (15.7x dari median) | BUREAU_ACTIVE_RATIO=2.03 (13.4x dari median) | ANNUITY_TO_INCOME=6.90 (12.9x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
15502.0,cluster_2,Tipe A - Data Error,EXT_SOURCE_1=0.74 (54.0x dari median) | YEARS_BIRTH=1.22 (40.2x dari median) | YEARS_EMPLOYED=5.55 (27.1x dari median) | EXT_SOURCE_3=-2.03 (19.3x dari median) | POS_MONTHS_COUNT=-0.41 (11.9x dari median),"Deviasi fitur lebih dari 50x median klaster, kemungkinan kesalahan input sistem.",Tim data engineering perlu memperbaiki flow pipeline ingestion untuk capping nilai ekstrem.
15613.0,cluster_2,Tipe B - Rare but Valid,POS_MONTHS_COUNT=1.89 (49.7x dari median) | YEARS_EMPLOYED=3.52 (17.6x dari median) | OWN_CAR_AGE=6.68 (15.7x dari median) | AMT_INCOME_TOTAL=-1.40 (13.8x dari median) | YEARS_BIRTH=0.33 (11.5x dari median),Keadaan ekstrem secara statistik namun masih masuk secara logika riil (Tail-end customer).,"Berpeluang cross-selling khusus untuk Very High Net Worth Individual, bila bukan risiko gagal bayar."
