feature,status,decision_basis,normalized_unsupervised_entropy,dominant_value_share,n_unique,high_corr_partner,abs_corr,business_reason,target_used_for_decision
FLAG_EXT_SOURCE_2_MISSING,keep,Correlation and unsupervised entropy audit,0.019688497367130568,0.9981249385973531,2,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
FLAG_EXT_SOURCE_3_MISSING,keep,Correlation and unsupervised entropy audit,0.7127511840634259,0.8045416906429383,2,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
FLAG_NO_BUREAU,keep,Correlation and unsupervised entropy audit,0.5884013138400654,0.8584047943186762,2,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
FLAG_NO_CAR,keep,Correlation and unsupervised entropy audit,0.9245156614266787,0.660316346437243,2,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
FLAG_NO_HOUSING_DATA,keep,Correlation and unsupervised entropy audit,0.9987636140473877,0.5206972533718826,2,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
FLAG_SENTINEL_EMPLOYED,keep,Correlation and unsupervised entropy audit,0.6832725897122834,0.8185344767090988,2,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
INST_COUNT,keep,Correlation and unsupervised entropy audit,0.9844406850483525,0.04678671176544891,208,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
INST_DPD_MAX,keep,Correlation and unsupervised entropy audit,0.720063533808212,0.49517901503136796,703,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
INST_DPD_MEAN,keep,Correlation and unsupervised entropy audit,0.7690812448852943,0.49517901503136796,23718,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
INST_LATE_RATIO,keep,Correlation and unsupervised entropy audit,0.7690421376479577,0.49517901503136796,5032,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
INST_PAYMENT_RATIO_MEAN,keep,Correlation and unsupervised entropy audit,0.7654458693440189,0.48091956604117836,48846,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
INST_SEVERE_LATE_RATIO,keep,Correlation and unsupervised entropy audit,0.13583422767255438,0.9398857559893896,785,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
NAME_CONTRACT_TYPE,keep,Correlation and unsupervised entropy audit,0.41410890866988276,0.9165822234073908,2,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
OWN_CAR_AGE,keep,Correlation and unsupervised entropy audit,0.5380241174317811,0.6666376612258074,59,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
POS_MONTHS_COUNT,keep,Correlation and unsupervised entropy audit,0.9849003025688041,0.053341005740270314,132,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
POS_SK_DPD_MEAN,keep,Correlation and unsupervised entropy audit,0.329461918280872,0.8232052883468303,9964,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
PREV_APPROVAL_RATE,keep,Correlation and unsupervised entropy audit,0.8210388899136241,0.40593114482603754,387,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
PREV_COUNT,keep,Correlation and unsupervised entropy audit,0.9362166064123956,0.16970428485214242,24,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
PREV_REFUSED_COUNT,keep,Correlation and unsupervised entropy audit,0.4856840770085191,0.6679990456274298,11,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
YEARS_EMPLOYED,keep,Correlation and unsupervised entropy audit,0.9594078188924811,0.18147113724719652,11573,,,Retained in the governed mining matrix; no unresolved redundancy or zero-variance issue.,False
APARTMENTS_AVG,drop,Correlation redundancy,0.7107493216091396,0.5051101037178426,2392,APARTMENTS_MODE,0.9739690486844729,Dropped because AVG and MODE exceed the redundancy threshold; retain APARTMENTS_MODE.,False
APARTMENTS_MEDI,drop,Correlation redundancy,0.7103603859690011,0.5051101037178426,1164,APARTMENTS_MODE,0.9776628049580455,Dropped because MEDI and MODE exceed the redundancy threshold; retain APARTMENTS_MODE.,False
BASEMENTAREA_AVG,drop,Correlation redundancy,0.631946521822363,0.5826837518069922,3832,BASEMENTAREA_MODE,0.972129816856349,Dropped because AVG and MODE exceed the redundancy threshold; retain BASEMENTAREA_MODE.,False
BASEMENTAREA_MEDI,drop,Correlation redundancy,0.6319591335471361,0.5826837518069922,3822,BASEMENTAREA_MODE,0.9768628143708267,Dropped because MEDI and MODE exceed the redundancy threshold; retain BASEMENTAREA_MODE.,False
COMMONAREA_AVG,drop,Correlation redundancy,0.5005378841567293,0.6971410927565929,3272,COMMONAREA_MODE,0.9770926721038373,Dropped because AVG and MODE exceed the redundancy threshold; retain COMMONAREA_MODE.,False
COMMONAREA_MEDI,drop,Correlation redundancy,0.5004869487849594,0.6971410927565929,3290,COMMONAREA_MODE,0.980136930665965,Dropped because MEDI and MODE exceed the redundancy threshold; retain COMMONAREA_MODE.,False
ELEVATORS_AVG,drop,Correlation redundancy,0.5261272427030621,0.5307434281624117,267,ELEVATORS_MODE,0.9792245723691407,Dropped because AVG and MODE exceed the redundancy threshold; retain ELEVATORS_MODE.,False
ELEVATORS_MEDI,drop,Correlation redundancy,0.5412145878234309,0.5307434281624117,47,ELEVATORS_MODE,0.9833317033353892,Dropped because MEDI and MODE exceed the redundancy threshold; retain ELEVATORS_MODE.,False
ENTRANCES_AVG,drop,Correlation redundancy,0.7164052324956817,0.5007845503922752,295,ENTRANCES_MODE,0.9778969994048888,Dropped because AVG and MODE exceed the redundancy threshold; retain ENTRANCES_MODE.,False
ENTRANCES_MEDI,drop,Correlation redundancy,0.7388334842634818,0.5007845503922752,47,ENTRANCES_MODE,0.9809092809064074,Dropped because MEDI and MODE exceed the redundancy threshold; retain ENTRANCES_MODE.,False
FLAG_EMP_PHONE,drop,Correlation redundancy,0.6833518902598072,0.818497985993179,2,FLAG_SENTINEL_EMPLOYED,0.9998771823923437,Dropped because the employment-duration sentinel state already carries the same information.,False
FLAG_MOBIL,drop,Near-zero unsupervised entropy,0.00010602092168861901,0.9999943860437046,2,,,Dropped because the flag is constant or nearly constant and cannot separate records.,False
FLOORSMAX_AVG,drop,Correlation redundancy,0.690529876641507,0.4949853335391784,415,FLOORSMAX_MODE,0.9856141996318156,Dropped because AVG and MODE exceed the redundancy threshold; retain FLOORSMAX_MODE.,False
FLOORSMAX_MEDI,drop,Correlation redundancy,0.69479127694092,0.4949853335391784,50,FLOORSMAX_MODE,0.9882206537470359,Dropped because MEDI and MODE exceed the redundancy threshold; retain FLOORSMAX_MODE.,False
FLOORSMIN_AVG,drop,Correlation redundancy,0.5312815029863499,0.6767848872296529,319,FLOORSMIN_MODE,0.9858167912064575,Dropped because AVG and MODE exceed the redundancy threshold; retain FLOORSMIN_MODE.,False
FLOORSMIN_MEDI,drop,Correlation redundancy,0.5411328016625865,0.6767848872296529,48,FLOORSMIN_MODE,0.9883849279419229,Dropped because MEDI and MODE exceed the redundancy threshold; retain FLOORSMIN_MODE.,False
LANDAREA_AVG,drop,Correlation redundancy,0.6220426339317794,0.591834500568413,3581,LANDAREA_MODE,0.9745284740539337,Dropped because AVG and MODE exceed the redundancy threshold; retain LANDAREA_MODE.,False
LANDAREA_MEDI,drop,Correlation redundancy,0.6220237786449453,0.591834500568413,3619,LANDAREA_MODE,0.9818308603856899,Dropped because MEDI and MODE exceed the redundancy threshold; retain LANDAREA_MODE.,False
LIVINGAPARTMENTS_AVG,drop,Correlation redundancy,0.5156675134232441,0.682036743343953,1918,LIVINGAPARTMENTS_MODE,0.970470441736014,Dropped because AVG and MODE exceed the redundancy threshold; retain LIVINGAPARTMENTS_MODE.,False
LIVINGAPARTMENTS_MEDI,drop,Correlation redundancy,0.5149077517458803,0.682036743343953,1120,LIVINGAPARTMENTS_MODE,0.9755830213060332,Dropped because MEDI and MODE exceed the redundancy threshold; retain LIVINGAPARTMENTS_MODE.,False
LIVINGAREA_AVG,drop,Correlation redundancy,0.7202785003818362,0.49936702642769926,5273,LIVINGAREA_MODE,0.9724278771345919,Dropped because AVG and MODE exceed the redundancy threshold; retain LIVINGAREA_MODE.,False
LIVINGAREA_MEDI,drop,Correlation redundancy,0.7202786195651956,0.49936702642769926,5361,LIVINGAREA_MODE,0.9753132846773992,Dropped because MEDI and MODE exceed the redundancy threshold; retain LIVINGAREA_MODE.,False
NONLIVINGAPARTMENTS_AVG,drop,Correlation redundancy,0.42474273053649936,0.6929334325132279,411,NONLIVINGAPARTMENTS_MODE,0.9683450071217982,Dropped because AVG and MODE exceed the redundancy threshold; retain NONLIVINGAPARTMENTS_MODE.,False
NONLIVINGAPARTMENTS_MEDI,drop,Correlation redundancy,0.4372947244132274,0.6929334325132279,232,NONLIVINGAPARTMENTS_MODE,0.9785867859639037,Dropped because MEDI and MODE exceed the redundancy threshold; retain NONLIVINGAPARTMENTS_MODE.,False
NONLIVINGAREA_AVG,drop,Correlation redundancy,0.6200135172676778,0.5495108840577676,3398,NONLIVINGAREA_MODE,0.9677614124304061,Dropped because AVG and MODE exceed the redundancy threshold; retain NONLIVINGAREA_MODE.,False
NONLIVINGAREA_MEDI,drop,Correlation redundancy,0.6207224520690362,0.5495108840577676,3420,NONLIVINGAREA_MODE,0.9768180002695779,Dropped because MEDI and MODE exceed the redundancy threshold; retain NONLIVINGAREA_MODE.,False
OBS_60_CNT_SOCIAL_CIRCLE,drop,Correlation redundancy,0.6245155472133331,0.535588272445299,36,OBS_30_CNT_SOCIAL_CIRCLE,0.9987676730691075,Dropped because the 60-day and 30-day observation counts are almost identical.,False
REGION_RATING_CLIENT,drop,Correlation redundancy,0.6869248325527387,0.736382647261091,3,REGION_RATING_CLIENT_W_CITY,0.9496465313278077,Dropped because the city-aware rating retains the same information at a more specific level.,False
YEARS_BEGINEXPLUATATION_AVG,drop,Correlation redundancy,0.7287917379995349,0.48522266354156435,295,YEARS_BEGINEXPLUATATION_MODE,0.9721623953719986,Dropped because AVG and MODE exceed the redundancy threshold; retain YEARS_BEGINEXPLUATATION_MODE.,False
YEARS_BEGINEXPLUATATION_MEDI,drop,Correlation redundancy,0.7309761581620978,0.48522266354156435,251,YEARS_BEGINEXPLUATATION_MODE,0.9643662419742296,Dropped because MEDI and MODE exceed the redundancy threshold; retain YEARS_BEGINEXPLUATATION_MODE.,False
YEARS_BUILD_AVG,drop,Correlation redundancy,0.5399370630608056,0.663305778164517,150,YEARS_BUILD_MODE,0.9895933038685143,Dropped because AVG and MODE exceed the redundancy threshold; retain YEARS_BUILD_MODE.,False
YEARS_BUILD_MEDI,drop,Correlation redundancy,0.5399643184694136,0.663305778164517,152,YEARS_BUILD_MODE,0.989630076567124,Dropped because MEDI and MODE exceed the redundancy threshold; retain YEARS_BUILD_MODE.,False
