feature,normalized_entropy,dominant_value_share,n_unique,missing_share,dtype
DEF_30_CNT_SOCIAL_CIRCLE,0.1861293656951723,0.8828479600286312,11,0.0029473270550588763,numeric
AMT_REQ_CREDIT_BUREAU_WEEK,0.22099025707089207,0.8421916885377048,10,0.13352233652861012,numeric
AMT_REQ_CREDIT_BUREAU_HOUR,0.23647689214336737,0.8616636959481271,6,0.13352233652861012,numeric
LIVE_REGION_NOT_WORK_REGION,0.2461629307580077,0.9591528539950317,2,0.0,numeric
NAME_HOUSING_TYPE,0.2766664773387412,0.8884450744550954,6,0.0,categorical
REG_REGION_NOT_WORK_REGION,0.2921904912110542,0.9486294929193976,2,0.0,numeric
CNT_CHILDREN,0.30512263408813245,0.7019017276950499,16,0.0,numeric
NAME_TYPE_SUITE,0.3295883384011418,0.8091198720017965,8,0.0061837728593282905,categorical
FLAG_EMAIL,0.370434243616254,0.9287869643934822,2,0.0,numeric
REG_CITY_NOT_LIVE_CITY,0.39536365348833613,0.9219239028224165,2,0.0,numeric
AMT_REQ_CREDIT_BUREAU_QRT,0.4034825522863274,0.6708004098188095,12,0.13352233652861012,numeric
FLAG_DOCUMENT_8,0.41039029847800856,0.9176544890598026,2,0.0,numeric
NAME_CONTRACT_TYPE,0.41410890866988276,0.9165822234073908,2,0.0,categorical
CNT_FAM_MEMBERS,0.4208848210640704,0.5176376471909166,19,5.613956295350241e-06,numeric
NONLIVINGAPARTMENTS_AVG,0.42474273053649936,0.6929334325132279,411,0.6929334325132279,numeric
NONLIVINGAPARTMENTS_MODE,0.42720043195377794,0.6929334325132279,179,0.6929334325132279,numeric
FLAG_DOCUMENT_6,0.42967868400816767,0.9120236908955663,2,0.0,numeric
NONLIVINGAPARTMENTS_MEDI,0.4372947244132274,0.6929334325132279,232,0.6929334325132279,numeric
AMT_REQ_CREDIT_BUREAU_MON,0.4515660631358735,0.7426534364429973,25,0.13352233652861012,numeric
NAME_EDUCATION_TYPE,0.4726154116524861,0.7084223379320992,5,0.0,categorical
COMMONAREA_MODE,0.49930961189957335,0.6971410927565929,3216,0.6971410927565929,numeric
COMMONAREA_MEDI,0.5004869487849594,0.6971410927565929,3290,0.6971410927565929,numeric
COMMONAREA_AVG,0.5005378841567293,0.6971410927565929,3272,0.6971410927565929,numeric
FLOORSMIN_MODE,0.5111531055292303,0.6767848872296529,26,0.6767848872296529,numeric
LIVINGAPARTMENTS_MODE,0.51350433584438,0.682036743343953,750,0.682036743343953,numeric
LIVINGAPARTMENTS_MEDI,0.5149077517458803,0.682036743343953,1120,0.682036743343953,numeric
LIVINGAPARTMENTS_AVG,0.5156675134232441,0.682036743343953,1918,0.682036743343953,numeric
ELEVATORS_AVG,0.5261272427030621,0.5307434281624117,267,0.5307434281624117,numeric
FLOORSMIN_AVG,0.5312815029863499,0.6767848872296529,319,0.6767848872296529,numeric
REGION_RATING_CLIENT_W_CITY,0.5364278560733884,0.7445790234523024,4,0.0,numeric
HOUSETYPE_MODE,0.5367052886732052,0.4994063241217667,4,0.4994063241217667,categorical
YEARS_BUILD_MODE,0.5397331022583418,0.663305778164517,155,0.663305778164517,numeric
YEARS_BUILD_AVG,0.5399370630608056,0.663305778164517,150,0.663305778164517,numeric
YEARS_BUILD_MEDI,0.5399643184694136,0.663305778164517,152,0.663305778164517,numeric
FLOORSMIN_MEDI,0.5411328016625865,0.6767848872296529,48,0.6767848872296529,numeric
ELEVATORS_MEDI,0.5412145878234309,0.5307434281624117,47,0.5307434281624117,numeric
OWN_CAR_AGE,0.5449981641933423,0.660316346437243,64,0.660316346437243,numeric
FONDKAPREMONT_MODE,0.5459980140073757,0.6823539318746403,5,0.6823539318746403,categorical
ELEVATORS_MODE,0.5491751947332126,0.5307434281624117,27,0.5307434281624117,numeric
NAME_INCOME_TYPE,0.5675511586193298,0.5145387433158833,8,0.0,categorical
CODE_GENDER,0.5836152094336596,0.6599935439502603,3,0.0,categorical
NONLIVINGAREA_MODE,0.610730438947058,0.5495108840577676,3433,0.5495108840577676,numeric
WALLSMATERIAL_MODE,0.6128183935377536,0.5059128994680776,8,0.5059128994680776,categorical
NONLIVINGAREA_AVG,0.6200135172676778,0.5495108840577676,3398,0.5495108840577676,numeric
NONLIVINGAREA_MEDI,0.6207224520690362,0.5495108840577676,3420,0.5495108840577676,numeric
LANDAREA_MEDI,0.6220237786449453,0.591834500568413,3619,0.591834500568413,numeric
LANDAREA_AVG,0.6220426339317794,0.591834500568413,3581,0.591834500568413,numeric
LANDAREA_MODE,0.6220448024670564,0.591834500568413,3622,0.591834500568413,numeric
OBS_60_CNT_SOCIAL_CIRCLE,0.6245155472133331,0.535588272445299,36,0.0029473270550588763,numeric
NAME_FAMILY_STATUS,0.624580132151638,0.6419980070455151,6,0.0,categorical
OBS_30_CNT_SOCIAL_CIRCLE,0.6277036021842867,0.533143394478674,37,0.0029473270550588763,numeric
BASEMENTAREA_AVG,0.631946521822363,0.5826837518069922,3832,0.5826837518069922,numeric
BASEMENTAREA_MODE,0.6319525296042183,0.5826837518069922,3892,0.5826837518069922,numeric
BASEMENTAREA_MEDI,0.6319591335471361,0.5826837518069922,3822,0.5826837518069922,numeric
EMERGENCYSTATE_MODE,0.6654056483314823,0.5209947930555361,3,0.4714712775961039,categorical
FLOORSMAX_MODE,0.6714252630057876,0.4949853335391784,26,0.4949853335391784,numeric
EXT_SOURCE_1,0.6747753351433885,0.5443011326156826,134316,0.5443011326156826,numeric
LIVE_CITY_NOT_WORK_CITY,0.677497970939393,0.8211758431460611,2,0.0,numeric
FLAG_EMP_PHONE,0.6833518902598072,0.818497985993179,2,0.0,numeric
REGION_RATING_CLIENT,0.6869248325527387,0.736382647261091,3,0.0,numeric
FLOORSMAX_AVG,0.690529876641507,0.4949853335391784,415,0.4949853335391784,numeric
FLOORSMAX_MEDI,0.69479127694092,0.4949853335391784,50,0.4949853335391784,numeric
ORGANIZATION_TYPE,0.7000003395247734,0.2212797013375251,58,0.0,categorical
APARTMENTS_MODE,0.7089485709544121,0.5051101037178426,771,0.5051101037178426,numeric
APARTMENTS_MEDI,0.7103603859690011,0.5051101037178426,1164,0.5051101037178426,numeric
APARTMENTS_AVG,0.7107493216091396,0.5051101037178426,2392,0.5051101037178426,numeric
ENTRANCES_AVG,0.7164052324956817,0.5007845503922752,295,0.5007845503922752,numeric
LIVINGAREA_MODE,0.72027638477996,0.49936702642769926,5383,0.49936702642769926,numeric
LIVINGAREA_AVG,0.7202785003818362,0.49936702642769926,5273,0.49936702642769926,numeric
LIVINGAREA_MEDI,0.7202786195651956,0.49936702642769926,5361,0.49936702642769926,numeric
FLAG_WORK_PHONE,0.7221245398480697,0.7999017557648314,2,0.0,numeric
YEARS_BEGINEXPLUATATION_AVG,0.7287917379995349,0.48522266354156435,295,0.48522266354156435,numeric
YEARS_BEGINEXPLUATATION_MEDI,0.7309761581620978,0.48522266354156435,251,0.48522266354156435,numeric
YEARS_BEGINEXPLUATATION_MODE,0.7334031017811995,0.48522266354156435,225,0.48522266354156435,numeric
ENTRANCES_MODE,0.7365047042729287,0.5007845503922752,31,0.5007845503922752,numeric
ENTRANCES_MEDI,0.7388334842634818,0.5007845503922752,47,0.5007845503922752,numeric
TOTALAREA_MODE,0.7389294574848315,0.4801476470505677,5192,0.4801476470505677,numeric
OCCUPATION_TYPE,0.7439930557628535,0.3143703246270228,19,0.3143703246270228,categorical
REG_CITY_NOT_WORK_CITY,0.7774204724595614,0.770338661913517,2,0.0,numeric
AMT_REQ_CREDIT_BUREAU_YEAR,0.8309539719263933,0.23196867412387195,26,0.13352233652861012,numeric
FLAG_PHONE,0.8535529786000989,0.7213877699962106,2,0.0,numeric
FLAG_DOCUMENT_3,0.8547637508968403,0.7205035718796929,2,0.0,numeric
FLAG_OWN_REALTY,0.8893986789245453,0.6932393931313244,2,0.0,categorical
FLAG_OWN_CAR,0.924531811286818,0.660299504568357,2,0.0,categorical
AMT_INCOME_TOTAL,0.9333697496546276,0.11596188123675458,2741,0.0,numeric
AMT_GOODS_PRICE,0.938045497125966,0.08620510589325062,1292,0.0007803399250536834,numeric
EXT_SOURCE_3,0.9538346108838683,0.19545830935706165,815,0.19545830935706165,numeric
DAYS_EMPLOYED,0.9595617432945057,0.18146552329090118,12896,0.0,numeric
DAYS_LAST_PHONE_CHANGE,0.9615088896248902,0.1220277610138805,3847,2.8069781476751204e-06,numeric
WEEKDAY_APPR_PROCESS_START,0.971452996444128,0.17866977305581677,7,0.0,categorical
HOUR_APPR_PROCESS_START,0.9796347136178046,0.12405720621464962,24,0.0,numeric
AMT_ANNUITY,0.9835589078292574,0.018105009052504527,14167,0.00010105121331630434,numeric
EXT_SOURCE_2,0.9866119155968679,0.002304529059241274,127158,0.0018750614026469803,numeric
AMT_CREDIT,0.9902034819137805,0.03319813055255365,6480,0.0,numeric
REGION_POPULATION_RELATIVE,0.9918144172433582,0.05330451502435053,82,0.0,numeric
DAYS_ID_PUBLISH,0.999999362067311,0.0005220979354675723,6224,0.0,numeric
DAYS_BIRTH,0.9999999417643372,0.00014034890738375601,17467,0.0,numeric
DAYS_REGISTRATION,0.9999999447689595,0.0003452583121640398,15898,0.0,numeric
