antecedents,consequents,support,confidence,lift,algorithm,context,context_n,support_count,rule_str,normalized_rule
"frozenset({'card_history_not_observed', 'leverage_over_6x'})",frozenset({'burden_20_to_35pct'}),0.07852240670306382,0.652317880794702,2.252270346502908,eclat,Portfolio-wide,356255,27974,"{card_history_not_observed, leverage_over_6x} -> {burden_20_to_35pct}","{card_history_not_observed, leverage_over_6x} -> {burden_20_to_35pct}"
"frozenset({'card_history_not_observed', 'burden_20_to_35pct'})",frozenset({'leverage_over_6x'}),0.07852240670306382,0.3733201660149734,2.250679884648757,eclat,Portfolio-wide,356255,27974,"{burden_20_to_35pct, card_history_not_observed} -> {leverage_over_6x}","{burden_20_to_35pct, card_history_not_observed} -> {leverage_over_6x}"
"frozenset({'burden_20_to_35pct', 'previous_one'})",frozenset({'card_history_not_observed'}),0.0519431306227281,0.9578157349896481,1.3503391202457373,eclat,Portfolio-wide,356255,18505,"{burden_20_to_35pct, previous_one} -> {card_history_not_observed}","{burden_20_to_35pct, previous_one} -> {card_history_not_observed}"
"frozenset({'cluster_0_card_intensive', 'burden_20_to_35pct'})",frozenset({'card_utilisation_moderate'}),0.032560946513031395,0.7993935635035491,3.114376758920386,eclat,Portfolio-wide,356255,11600,"{burden_20_to_35pct, cluster_0_card_intensive} -> {card_utilisation_moderate}","{burden_20_to_35pct, cluster_0_card_intensive} -> {card_utilisation_moderate}"
"frozenset({'card_utilisation_moderate', 'burden_20_to_35pct'})",frozenset({'cluster_0_card_intensive'}),0.032560946513031395,0.458389314787007,2.9944711715310386,eclat,Portfolio-wide,356255,11600,"{burden_20_to_35pct, card_utilisation_moderate} -> {cluster_0_card_intensive}","{burden_20_to_35pct, card_utilisation_moderate} -> {cluster_0_card_intensive}"
"frozenset({'credit_large', 'card_utilisation_moderate'})",frozenset({'burden_20_to_35pct'}),0.03696228824858599,0.4042860213072979,1.395886030575701,eclat,Portfolio-wide,356255,13168,"{card_utilisation_moderate, credit_large} -> {burden_20_to_35pct}","{card_utilisation_moderate, credit_large} -> {burden_20_to_35pct}"
"frozenset({'card_utilisation_moderate', 'burden_20_to_35pct'})",frozenset({'credit_large'}),0.03696228824858599,0.5203509049237335,1.6158009521093777,eclat,Portfolio-wide,356255,13168,"{burden_20_to_35pct, card_utilisation_moderate} -> {credit_large}","{burden_20_to_35pct, card_utilisation_moderate} -> {credit_large}"
"frozenset({'card_utilisation_moderate', 'burden_20_to_35pct'})",frozenset({'leverage_3_to_6x'}),0.03319532357440597,0.46732000316130556,1.2993248191414395,eclat,Portfolio-wide,356255,11826,"{burden_20_to_35pct, card_utilisation_moderate} -> {leverage_3_to_6x}","{burden_20_to_35pct, card_utilisation_moderate} -> {leverage_3_to_6x}"
"frozenset({'previous_deep', 'burden_20_to_35pct'})",frozenset({'card_utilisation_moderate'}),0.04371307069374465,0.4201877934272301,1.637019808486356,eclat,Portfolio-wide,356255,15573,"{burden_20_to_35pct, previous_deep} -> {card_utilisation_moderate}","{burden_20_to_35pct, previous_deep} -> {card_utilisation_moderate}"
"frozenset({'card_utilisation_moderate', 'burden_20_to_35pct'})",frozenset({'previous_deep'}),0.04371307069374465,0.6153876551015569,1.548958428313481,eclat,Portfolio-wide,356255,15573,"{burden_20_to_35pct, card_utilisation_moderate} -> {previous_deep}","{burden_20_to_35pct, card_utilisation_moderate} -> {previous_deep}"
"frozenset({'card_utilisation_moderate', 'burden_20_to_35pct'})",frozenset({'repayment_some_late'}),0.04016224333693562,0.5653995099976289,1.2713985598230455,eclat,Portfolio-wide,356255,14308,"{burden_20_to_35pct, card_utilisation_moderate} -> {repayment_some_late}","{burden_20_to_35pct, card_utilisation_moderate} -> {repayment_some_late}"
"frozenset({'credit_small', 'burden_20_to_35pct'})",frozenset({'cluster_2_thin_file'}),0.03376233316023635,0.75175,2.198446037186012,eclat,Portfolio-wide,356255,12028,"{burden_20_to_35pct, credit_small} -> {cluster_2_thin_file}","{burden_20_to_35pct, credit_small} -> {cluster_2_thin_file}"
"frozenset({'cluster_2_thin_file', 'burden_20_to_35pct'})",frozenset({'credit_small'}),0.03376233316023635,0.6079660331581076,1.820076630807654,eclat,Portfolio-wide,356255,12028,"{burden_20_to_35pct, cluster_2_thin_file} -> {credit_small}","{burden_20_to_35pct, cluster_2_thin_file} -> {credit_small}"
"frozenset({'cluster_2_thin_file', 'burden_20_to_35pct'})",frozenset({'income_q1'}),0.04247519333061992,0.7648604933279418,2.3895308818547782,eclat,Portfolio-wide,356255,15132,"{burden_20_to_35pct, cluster_2_thin_file} -> {income_q1}","{burden_20_to_35pct, cluster_2_thin_file} -> {income_q1}"
"frozenset({'cluster_2_thin_file', 'leverage_3_to_6x'})",frozenset({'burden_20_to_35pct'}),0.0313651738221218,0.43542981840854184,1.503416810819192,eclat,Portfolio-wide,356255,11174,"{cluster_2_thin_file, leverage_3_to_6x} -> {burden_20_to_35pct}","{cluster_2_thin_file, leverage_3_to_6x} -> {burden_20_to_35pct}"
"frozenset({'cluster_2_thin_file', 'burden_20_to_35pct'})",frozenset({'leverage_3_to_6x'}),0.0313651738221218,0.564799838253134,1.5703553084075035,eclat,Portfolio-wide,356255,11174,"{burden_20_to_35pct, cluster_2_thin_file} -> {leverage_3_to_6x}","{burden_20_to_35pct, cluster_2_thin_file} -> {leverage_3_to_6x}"
"frozenset({'cluster_2_thin_file', 'burden_20_to_35pct'})",frozenset({'previous_approval_high'}),0.03535108279182046,0.636575010109179,1.2144059794501862,eclat,Portfolio-wide,356255,12594,"{burden_20_to_35pct, cluster_2_thin_file} -> {previous_approval_high}","{burden_20_to_35pct, cluster_2_thin_file} -> {previous_approval_high}"
"frozenset({'cluster_2_thin_file', 'burden_20_to_35pct'})",frozenset({'repayment_clean_observed'}),0.031163071395489187,0.5611605337646584,1.2514945722247648,eclat,Portfolio-wide,356255,11102,"{burden_20_to_35pct, cluster_2_thin_file} -> {repayment_clean_observed}","{burden_20_to_35pct, cluster_2_thin_file} -> {repayment_clean_observed}"
frozenset({'cluster_3_high_exposure'}),frozenset({'burden_20_to_35pct'}),0.15544483586195282,0.46172573934649025,1.5942092368835723,eclat,Portfolio-wide,356255,55378,{cluster_3_high_exposure} -> {burden_20_to_35pct},{cluster_3_high_exposure} -> {burden_20_to_35pct}
frozenset({'burden_20_to_35pct'}),frozenset({'cluster_3_high_exposure'}),0.15544483586195282,0.5367073395295645,1.5942092368835723,eclat,Portfolio-wide,356255,55378,{burden_20_to_35pct} -> {cluster_3_high_exposure},{burden_20_to_35pct} -> {cluster_3_high_exposure}
"frozenset({'credit_file_established', 'cluster_3_high_exposure'})",frozenset({'burden_20_to_35pct'}),0.06492259757757786,0.45658053181199043,1.5764442810273271,eclat,Portfolio-wide,356255,23129,"{cluster_3_high_exposure, credit_file_established} -> {burden_20_to_35pct}","{cluster_3_high_exposure, credit_file_established} -> {burden_20_to_35pct}"
"frozenset({'credit_file_established', 'burden_20_to_35pct'})",frozenset({'cluster_3_high_exposure'}),0.06492259757757786,0.5622569039284325,1.6701004136256845,eclat,Portfolio-wide,356255,23129,"{burden_20_to_35pct, credit_file_established} -> {cluster_3_high_exposure}","{burden_20_to_35pct, credit_file_established} -> {cluster_3_high_exposure}"
"frozenset({'cluster_3_high_exposure', 'credit_file_thin'})",frozenset({'burden_20_to_35pct'}),0.03912085444414815,0.49402715252915536,1.7057369401757516,eclat,Portfolio-wide,356255,13937,"{cluster_3_high_exposure, credit_file_thin} -> {burden_20_to_35pct}","{cluster_3_high_exposure, credit_file_thin} -> {burden_20_to_35pct}"
"frozenset({'credit_file_thin', 'burden_20_to_35pct'})",frozenset({'cluster_3_high_exposure'}),0.03912085444414815,0.533045207679951,1.5833314195120851,eclat,Portfolio-wide,356255,13937,"{burden_20_to_35pct, credit_file_thin} -> {cluster_3_high_exposure}","{burden_20_to_35pct, credit_file_thin} -> {cluster_3_high_exposure}"
"frozenset({'cluster_3_high_exposure', 'credit_large'})",frozenset({'burden_20_to_35pct'}),0.10382170074805967,0.4579582740048288,1.5812012376851385,eclat,Portfolio-wide,356255,36987,"{cluster_3_high_exposure, credit_large} -> {burden_20_to_35pct}","{cluster_3_high_exposure, credit_large} -> {burden_20_to_35pct}"
"frozenset({'credit_large', 'burden_20_to_35pct'})",frozenset({'cluster_3_high_exposure'}),0.10382170074805967,0.7488004858791375,2.224200347656454,eclat,Portfolio-wide,356255,36987,"{burden_20_to_35pct, credit_large} -> {cluster_3_high_exposure}","{burden_20_to_35pct, credit_large} -> {cluster_3_high_exposure}"
"frozenset({'cluster_3_high_exposure', 'burden_20_to_35pct'})",frozenset({'credit_large'}),0.10382170074805967,0.6679006103506807,2.0739743736531775,eclat,Portfolio-wide,356255,36987,"{burden_20_to_35pct, cluster_3_high_exposure} -> {credit_large}","{burden_20_to_35pct, cluster_3_high_exposure} -> {credit_large}"
"frozenset({'cluster_3_high_exposure', 'credit_medium'})",frozenset({'burden_20_to_35pct'}),0.05122735119507095,0.47197868983888075,1.6296097939402647,eclat,Portfolio-wide,356255,18250,"{cluster_3_high_exposure, credit_medium} -> {burden_20_to_35pct}","{cluster_3_high_exposure, credit_medium} -> {burden_20_to_35pct}"
"frozenset({'burden_20_to_35pct', 'credit_medium'})",frozenset({'cluster_3_high_exposure'}),0.05122735119507095,0.48298311543958083,1.4346294287078039,eclat,Portfolio-wide,356255,18250,"{burden_20_to_35pct, credit_medium} -> {cluster_3_high_exposure}","{burden_20_to_35pct, credit_medium} -> {cluster_3_high_exposure}"
"frozenset({'cluster_3_high_exposure', 'external_score_middle'})",frozenset({'burden_20_to_35pct'}),0.05226593310971074,0.462804165734596,1.5979327401728853,eclat,Portfolio-wide,356255,18620,"{cluster_3_high_exposure, external_score_middle} -> {burden_20_to_35pct}","{cluster_3_high_exposure, external_score_middle} -> {burden_20_to_35pct}"
"frozenset({'external_score_middle', 'burden_20_to_35pct'})",frozenset({'cluster_3_high_exposure'}),0.05226593310971074,0.5523255813953488,1.640600898805206,eclat,Portfolio-wide,356255,18620,"{burden_20_to_35pct, external_score_middle} -> {cluster_3_high_exposure}","{burden_20_to_35pct, external_score_middle} -> {cluster_3_high_exposure}"
"frozenset({'external_score_strong', 'cluster_3_high_exposure'})",frozenset({'burden_20_to_35pct'}),0.06392892731330087,0.44317098324609366,1.530144877800536,eclat,Portfolio-wide,356255,22775,"{cluster_3_high_exposure, external_score_strong} -> {burden_20_to_35pct}","{cluster_3_high_exposure, external_score_strong} -> {burden_20_to_35pct}"
"frozenset({'external_score_strong', 'burden_20_to_35pct'})",frozenset({'cluster_3_high_exposure'}),0.06392892731330087,0.6317088730480127,1.8763971465662788,eclat,Portfolio-wide,356255,22775,"{burden_20_to_35pct, external_score_strong} -> {cluster_3_high_exposure}","{burden_20_to_35pct, external_score_strong} -> {cluster_3_high_exposure}"
"frozenset({'cluster_3_high_exposure', 'burden_20_to_35pct'})",frozenset({'external_score_strong'}),0.06392892731330087,0.4112644010256781,1.2344134329811862,eclat,Portfolio-wide,356255,22775,"{burden_20_to_35pct, cluster_3_high_exposure} -> {external_score_strong}","{burden_20_to_35pct, cluster_3_high_exposure} -> {external_score_strong}"
"frozenset({'external_score_weak', 'cluster_3_high_exposure'})",frozenset({'burden_20_to_35pct'}),0.03916576609451095,0.4939639607745955,1.705518756803612,eclat,Portfolio-wide,356255,13953,"{cluster_3_high_exposure, external_score_weak} -> {burden_20_to_35pct}","{cluster_3_high_exposure, external_score_weak} -> {burden_20_to_35pct}"
"frozenset({'external_score_weak', 'burden_20_to_35pct'})",frozenset({'cluster_3_high_exposure'}),0.03916576609451095,0.41818018342024815,1.2421419682364951,eclat,Portfolio-wide,356255,13953,"{burden_20_to_35pct, external_score_weak} -> {cluster_3_high_exposure}","{burden_20_to_35pct, external_score_weak} -> {cluster_3_high_exposure}"
"frozenset({'cluster_3_high_exposure', 'income_q1'})",frozenset({'burden_20_to_35pct'}),0.05256066581521663,0.5856687101213562,2.0221494880286466,eclat,Portfolio-wide,356255,18725,"{cluster_3_high_exposure, income_q1} -> {burden_20_to_35pct}","{cluster_3_high_exposure, income_q1} -> {burden_20_to_35pct}"
"frozenset({'income_q1', 'burden_20_to_35pct'})",frozenset({'cluster_3_high_exposure'}),0.05256066581521663,0.41033001709251876,1.2188242180419326,eclat,Portfolio-wide,356255,18725,"{burden_20_to_35pct, income_q1} -> {cluster_3_high_exposure}","{burden_20_to_35pct, income_q1} -> {cluster_3_high_exposure}"
"frozenset({'income_q2', 'cluster_3_high_exposure'})",frozenset({'burden_20_to_35pct'}),0.03583949698951594,0.61881452042844,2.1365926573228973,eclat,Portfolio-wide,356255,12768,"{cluster_3_high_exposure, income_q2} -> {burden_20_to_35pct}","{cluster_3_high_exposure, income_q2} -> {burden_20_to_35pct}"
"frozenset({'income_q2', 'burden_20_to_35pct'})",frozenset({'cluster_3_high_exposure'}),0.03583949698951594,0.5785228817399185,1.7184160787267873,eclat,Portfolio-wide,356255,12768,"{burden_20_to_35pct, income_q2} -> {cluster_3_high_exposure}","{burden_20_to_35pct, income_q2} -> {cluster_3_high_exposure}"
"frozenset({'cluster_3_high_exposure', 'income_q3'})",frozenset({'burden_20_to_35pct'}),0.04518112026497874,0.49415159794922175,1.7061666152431163,eclat,Portfolio-wide,356255,16096,"{cluster_3_high_exposure, income_q3} -> {burden_20_to_35pct}","{cluster_3_high_exposure, income_q3} -> {burden_20_to_35pct}"
"frozenset({'income_q3', 'burden_20_to_35pct'})",frozenset({'cluster_3_high_exposure'}),0.04518112026497874,0.6560691285562892,1.9487556583357997,eclat,Portfolio-wide,356255,16096,"{burden_20_to_35pct, income_q3} -> {cluster_3_high_exposure}","{burden_20_to_35pct, income_q3} -> {cluster_3_high_exposure}"
"frozenset({'cluster_3_high_exposure', 'leverage_3_to_6x'})",frozenset({'burden_20_to_35pct'}),0.06543908155675009,0.38822647793505416,1.3404369399090212,eclat,Portfolio-wide,356255,23313,"{cluster_3_high_exposure, leverage_3_to_6x} -> {burden_20_to_35pct}","{cluster_3_high_exposure, leverage_3_to_6x} -> {burden_20_to_35pct}"
"frozenset({'burden_20_to_35pct', 'leverage_3_to_6x'})",frozenset({'cluster_3_high_exposure'}),0.06543908155675009,0.4753583589910895,1.4119812249962114,eclat,Portfolio-wide,356255,23313,"{burden_20_to_35pct, leverage_3_to_6x} -> {cluster_3_high_exposure}","{burden_20_to_35pct, leverage_3_to_6x} -> {cluster_3_high_exposure}"
"frozenset({'cluster_3_high_exposure', 'leverage_over_6x'})",frozenset({'burden_20_to_35pct'}),0.08301918569563936,0.6489949969279383,2.2407973622136117,eclat,Portfolio-wide,356255,29576,"{cluster_3_high_exposure, leverage_over_6x} -> {burden_20_to_35pct}","{cluster_3_high_exposure, leverage_over_6x} -> {burden_20_to_35pct}"
"frozenset({'leverage_over_6x', 'burden_20_to_35pct'})",frozenset({'cluster_3_high_exposure'}),0.08301918569563936,0.757368569306804,2.2496505636992374,eclat,Portfolio-wide,356255,29576,"{burden_20_to_35pct, leverage_over_6x} -> {cluster_3_high_exposure}","{burden_20_to_35pct, leverage_over_6x} -> {cluster_3_high_exposure}"
