normalized_rule,support,confidence,lift,support_min,support_max,confidence_min,confidence_max,lift_min,lift_max,algorithm,rule_str,context_n,support_count,appears_in,n_algos,metric_spread,is_consistent,context
"{burden_20_to_35pct, card_history_not_observed} -> {leverage_over_6x}",0.07852240670306382,0.3733201660149734,2.250679884648757,0.07852240670306382,0.07852240670306382,0.3733201660149734,0.3733201660149734,2.250679884648757,2.250679884648757,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, card_history_not_observed} -> {leverage_over_6x}",356255,27974,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, card_utilisation_moderate} -> {credit_large}",0.03696228824858599,0.5203509049237335,1.6158009521093775,0.03696228824858599,0.03696228824858599,0.5203509049237335,0.5203509049237335,1.6158009521093777,1.6158009521093777,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, card_utilisation_moderate} -> {credit_large}",356255,13168,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, card_utilisation_moderate} -> {leverage_3_to_6x}",0.03319532357440597,0.46732000316130556,1.2993248191414395,0.03319532357440597,0.03319532357440597,0.46732000316130556,0.46732000316130556,1.2993248191414395,1.2993248191414395,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, card_utilisation_moderate} -> {leverage_3_to_6x}",356255,11826,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, card_utilisation_moderate} -> {previous_deep}",0.04371307069374466,0.6153876551015569,1.5489584283134807,0.04371307069374465,0.04371307069374465,0.6153876551015569,0.6153876551015569,1.548958428313481,1.548958428313481,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, card_utilisation_moderate} -> {previous_deep}",356255,15573,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, card_utilisation_moderate} -> {repayment_some_late}",0.04016224333693562,0.5653995099976289,1.2713985598230455,0.04016224333693562,0.04016224333693562,0.5653995099976289,0.5653995099976289,1.2713985598230455,1.2713985598230455,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, card_utilisation_moderate} -> {repayment_some_late}",356255,14308,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, credit_file_deep} -> {bureau_debt_low}",0.0338465425046666,0.6387667531917148,1.2659385602852395,0.0338465425046666,0.0338465425046666,0.6387667531917148,0.6387667531917148,1.2659385602852395,1.2659385602852395,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, credit_file_deep} -> {bureau_debt_low}",356255,12058,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, credit_file_established} -> {bureau_debt_moderate}",0.041012757715681185,0.3551876701672501,1.2011256246896855,0.041012757715681185,0.041012757715681185,0.3551876701672501,0.3551876701672501,1.2011256246896855,1.2011256246896855,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, credit_file_established} -> {bureau_debt_moderate}",356255,14611,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, credit_file_established} -> {credit_large}",0.05796971270578658,0.5020420070011669,1.558947904645777,0.05796971270578659,0.05796971270578659,0.5020420070011669,0.5020420070011669,1.558947904645777,1.558947904645777,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, credit_file_established} -> {credit_large}",356255,20652,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, credit_file_established} -> {income_q1}",0.04950667359054609,0.4287485414235706,1.3394702553195492,0.0495066735905461,0.0495066735905461,0.4287485414235706,0.4287485414235706,1.3394702553195492,1.3394702553195492,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, credit_file_established} -> {income_q1}",356255,17637,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, credit_file_established} -> {leverage_3_to_6x}",0.05423081781308333,0.4696616102683781,1.305835364828154,0.054230817813083323,0.054230817813083323,0.46966161026837805,0.46966161026837805,1.305835364828154,1.305835364828154,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, credit_file_established} -> {leverage_3_to_6x}",356255,19320,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, credit_file_established} -> {leverage_over_6x}",0.045661113528231184,0.3954443796188254,2.384062774336706,0.045661113528231184,0.045661113528231184,0.3954443796188254,0.3954443796188254,2.384062774336706,2.384062774336706,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, credit_file_established} -> {leverage_over_6x}",356255,16267,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, credit_file_none} -> {bureau_debt_not_observed}",0.0477803820297259,1.0,7.062386012211561,0.0477803820297259,0.0477803820297259,1.0,1.0,7.062386012211561,7.062386012211561,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, credit_file_none} -> {bureau_debt_not_observed}",356255,17022,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, credit_file_thin} -> {bureau_debt_low}",0.04919790599430183,0.6703511053315995,1.3285339428340666,0.049197905994301835,0.049197905994301835,0.6703511053315995,0.6703511053315995,1.3285339428340666,1.3285339428340666,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, credit_file_thin} -> {bureau_debt_low}",356255,17527,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, credit_file_thin} -> {credit_large}",0.03183113219463587,0.43371835079935755,1.3467883259886435,0.03183113219463587,0.03183113219463587,0.4337183507993575,0.4337183507993575,1.3467883259886437,1.3467883259886437,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, credit_file_thin} -> {credit_large}",356255,11340,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, credit_file_thin} -> {income_q1}",0.03492442211337385,0.4758662892985543,1.486672672770658,0.03492442211337385,0.03492442211337385,0.4758662892985543,0.4758662892985543,1.486672672770658,1.486672672770658,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, credit_file_thin} -> {income_q1}",356255,12442,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, credit_file_thin} -> {leverage_3_to_6x}",0.035847917923958965,0.4884494760192764,1.3580726756723325,0.035847917923958965,0.035847917923958965,0.4884494760192764,0.4884494760192764,1.3580726756723325,1.3580726756723325,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, credit_file_thin} -> {leverage_3_to_6x}",356255,12771,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, credit_large} -> {income_q3}",0.0506575346310929,0.36536086648446203,1.3964941687168422,0.0506575346310929,0.0506575346310929,0.365360866484462,0.365360866484462,1.3964941687168422,1.3964941687168422,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, credit_large} -> {income_q3}",356255,18047,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, credit_large} -> {leverage_over_6x}",0.08884647233021291,0.6407936025913554,3.8632289462394795,0.08884647233021291,0.08884647233021291,0.6407936025913554,0.6407936025913554,3.8632289462394795,3.8632289462394795,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, credit_large} -> {leverage_over_6x}",356255,31652,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, credit_medium} -> {income_q1}",0.059637057725505614,0.5622717408564019,1.7566153572983036,0.05963705772550561,0.05963705772550561,0.5622717408564019,0.5622717408564019,1.7566153572983036,1.7566153572983036,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, credit_medium} -> {income_q1}",356255,21246,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, credit_medium} -> {leverage_3_to_6x}",0.07102777504877125,0.6696660138675701,1.8619225936564725,0.07102777504877125,0.07102777504877125,0.6696660138675701,0.6696660138675701,1.8619225936564727,1.8619225936564727,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, credit_medium} -> {leverage_3_to_6x}",356255,25304,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, credit_small} -> {income_q1}",0.040319434113205425,0.8977499999999999,2.804696239246534,0.040319434113205425,0.040319434113205425,0.8977499999999999,0.8977499999999999,2.804696239246534,2.804696239246534,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, credit_small} -> {income_q1}",356255,14364,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, external_score_middle} -> {credit_large}",0.04672776522434772,0.49380042714760314,1.5333560349127449,0.046727765224347725,0.046727765224347725,0.4938004271476032,0.4938004271476032,1.5333560349127446,1.5333560349127446,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, external_score_middle} -> {credit_large}",356255,16647,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, external_score_middle} -> {income_q1}",0.041068897278634685,0.43399976269577606,1.355875803137545,0.041068897278634685,0.041068897278634685,0.433999762695776,0.433999762695776,1.355875803137545,1.355875803137545,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, external_score_middle} -> {income_q1}",356255,14631,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, external_score_middle} -> {leverage_3_to_6x}",0.04424358956365524,0.4675486473659231,1.2999605357549007,0.04424358956365525,0.04424358956365525,0.4675486473659231,0.4675486473659231,1.2999605357549007,1.2999605357549007,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, external_score_middle} -> {leverage_3_to_6x}",356255,15762,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, external_score_middle} -> {leverage_over_6x}",0.03687246494786038,0.3896535358329378,2.3491508225845,0.03687246494786038,0.03687246494786038,0.3896535358329378,0.3896535358329378,2.3491508225845,2.3491508225845,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, external_score_middle} -> {leverage_over_6x}",356255,13136,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, external_score_strong} -> {bureau_debt_low}",0.06269385692832381,0.6195046182009819,1.2277639381460221,0.06269385692832381,0.06269385692832381,0.6195046182009819,0.6195046182009819,1.2277639381460221,1.2277639381460221,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, external_score_strong} -> {bureau_debt_low}",356255,22335,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, external_score_strong} -> {credit_large}",0.05526939972772312,0.5461404044046265,1.6958828687955008,0.05526939972772312,0.05526939972772312,0.5461404044046265,0.5461404044046265,1.6958828687955008,1.6958828687955008,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, external_score_strong} -> {credit_large}",356255,19690,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, external_score_strong} -> {income_q1}",0.04060574588426829,0.40124261503897046,1.2535379041216876,0.04060574588426829,0.04060574588426829,0.4012426150389704,0.4012426150389704,1.2535379041216876,1.2535379041216876,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, external_score_strong} -> {income_q1}",356255,14466,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, external_score_strong} -> {leverage_3_to_6x}",0.044417622208811104,0.4389093834077608,1.2203326443506057,0.044417622208811104,0.044417622208811104,0.4389093834077608,0.4389093834077608,1.2203326443506057,1.2203326443506057,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, external_score_strong} -> {leverage_3_to_6x}",356255,15824,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, external_score_strong} -> {leverage_over_6x}",0.04248642124321062,0.41982636673785817,2.531057372947195,0.04248642124321062,0.04248642124321062,0.41982636673785817,0.41982636673785817,2.531057372947195,2.531057372947195,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, external_score_strong} -> {leverage_over_6x}",356255,15136,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, external_score_weak} -> {credit_large}",0.03661422295827427,0.3909368818557813,1.2139427066237656,0.03661422295827427,0.03661422295827427,0.3909368818557813,0.3909368818557813,1.2139427066237656,1.2139427066237656,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, external_score_weak} -> {credit_large}",356255,13044,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, external_score_weak} -> {credit_medium}",0.04049908071465664,0.4324162320925493,1.257287798215327,0.04049908071465664,0.04049908071465664,0.4324162320925493,0.4324162320925493,1.257287798215327,1.257287798215327,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, external_score_weak} -> {credit_medium}",356255,14428,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, external_score_weak} -> {income_q1}",0.04632356037108251,0.49460528681891747,1.5452159151795835,0.04632356037108251,0.04632356037108251,0.49460528681891747,0.49460528681891747,1.5452159151795835,1.5452159151795835,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, external_score_weak} -> {income_q1}",356255,16503,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, external_score_weak} -> {leverage_3_to_6x}",0.04893685702656805,0.5225079422166277,1.4527679811006202,0.04893685702656805,0.04893685702656805,0.5225079422166277,0.5225079422166277,1.4527679811006204,1.4527679811006204,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, external_score_weak} -> {leverage_3_to_6x}",356255,17434,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, income_q1} -> {credit_medium}",0.059637057725505614,0.46557391418679056,1.353696642333995,0.05963705772550561,0.05963705772550561,0.46557391418679056,0.46557391418679056,1.353696642333995,1.353696642333995,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, income_q1} -> {credit_medium}",356255,21246,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, income_q1} -> {leverage_3_to_6x}",0.059367587823328793,0.4634702195731253,1.2886209773828845,0.059367587823328793,0.059367587823328793,0.4634702195731253,0.4634702195731253,1.2886209773828845,1.2886209773828845,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, income_q1} -> {leverage_3_to_6x}",356255,21150,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, income_q1} -> {leverage_over_6x}",0.04890598026694362,0.3817986588946838,2.3017951875808156,0.04890598026694362,0.04890598026694362,0.3817986588946838,0.3817986588946838,2.3017951875808156,2.3017951875808156,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, income_q1} -> {leverage_over_6x}",356255,17423,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, income_q2} -> {credit_large}",0.03351251210509326,0.5409605799728138,1.679798405081713,0.03351251210509326,0.03351251210509326,0.5409605799728138,0.5409605799728138,1.679798405081713,1.679798405081713,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, income_q2} -> {credit_large}",356255,11939,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, income_q3} -> {credit_large}",0.0506575346310929,0.7355914241460829,2.2841688411648664,0.0506575346310929,0.0506575346310929,0.7355914241460829,0.7355914241460829,2.2841688411648664,2.2841688411648664,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, income_q3} -> {credit_large}",356255,18047,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, income_q3} -> {leverage_3_to_6x}",0.033043746754431516,0.47982391782831985,1.3340903899566703,0.033043746754431516,0.033043746754431516,0.47982391782831985,0.47982391782831985,1.3340903899566703,1.3340903899566703,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, income_q3} -> {leverage_3_to_6x}",356255,11772,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, leverage_3_to_6x} -> {credit_medium}",0.07102777504877125,0.5159553860897581,1.5001851531218418,0.07102777504877125,0.07102777504877125,0.5159553860897581,0.5159553860897581,1.5001851531218418,1.5001851531218418,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, leverage_3_to_6x} -> {credit_medium}",356255,25304,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, leverage_3_to_6x} -> {income_q1}",0.059367587823328793,0.4312542054931387,1.3472982994217297,0.059367587823328793,0.059367587823328793,0.4312542054931387,0.4312542054931387,1.34729829942173,1.34729829942173,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, leverage_3_to_6x} -> {income_q1}",356255,21150,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, leverage_over_6x} -> {credit_large}",0.08884647233021291,0.8105298199790019,2.516868602404115,0.08884647233021291,0.08884647233021291,0.8105298199790019,0.8105298199790019,2.516868602404115,2.516868602404115,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, leverage_over_6x} -> {credit_large}",356255,31652,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, leverage_over_6x} -> {income_q1}",0.04890598026694362,0.44616014954802696,1.3938665480802255,0.04890598026694362,0.04890598026694362,0.44616014954802696,0.44616014954802696,1.3938665480802255,1.3938665480802255,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, leverage_over_6x} -> {income_q1}",356255,17423,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, previous_approval_high} -> {credit_large}",0.0780957460246172,0.4845603218558963,1.5046635299383964,0.0780957460246172,0.0780957460246172,0.4845603218558963,0.4845603218558963,1.5046635299383964,1.5046635299383964,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, previous_approval_high} -> {credit_large}",356255,27822,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, previous_approval_high} -> {income_q1}",0.07462632103409075,0.4630335963216468,1.446581549705509,0.07462632103409075,0.07462632103409075,0.46303359632164687,0.46303359632164687,1.446581549705509,1.446581549705509,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, previous_approval_high} -> {income_q1}",356255,26586,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, previous_approval_high} -> {leverage_3_to_6x}",0.07437649997894766,0.461483532751624,1.2830972431588503,0.07437649997894766,0.07437649997894766,0.461483532751624,0.461483532751624,1.2830972431588503,1.2830972431588503,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, previous_approval_high} -> {leverage_3_to_6x}",356255,26497,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, previous_approval_high} -> {leverage_over_6x}",0.06422366001880675,0.39848825260811255,2.402413735072482,0.06422366001880675,0.06422366001880675,0.39848825260811255,0.39848825260811255,2.402413735072482,2.402413735072482,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, previous_approval_high} -> {leverage_over_6x}",356255,22880,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, previous_approval_high} -> {previous_two_to_four}",0.07443263954190117,0.46183186164376405,1.2021591812913677,0.07443263954190117,0.07443263954190117,0.46183186164376405,0.46183186164376405,1.2021591812913677,1.2021591812913677,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, previous_approval_high} -> {previous_two_to_four}",356255,26517,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, previous_deep} -> {card_utilisation_moderate}",0.04371307069374466,0.42018779342723017,1.6370198084863563,0.04371307069374465,0.04371307069374465,0.4201877934272301,0.4201877934272301,1.637019808486356,1.637019808486356,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, previous_deep} -> {card_utilisation_moderate}",356255,15573,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, previous_deep} -> {credit_large}",0.05109823020027789,0.49117694673789875,1.5252095666281125,0.05109823020027789,0.05109823020027789,0.4911769467378987,0.4911769467378987,1.5252095666281125,1.5252095666281125,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, previous_deep} -> {credit_large}",356255,18204,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, previous_deep} -> {income_q1}",0.042250635078805915,0.40613026819923376,1.2688076144389608,0.042250635078805915,0.042250635078805915,0.40613026819923376,0.40613026819923376,1.2688076144389608,1.2688076144389608,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, previous_deep} -> {income_q1}",356255,15052,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, previous_deep} -> {leverage_3_to_6x}",0.050247715821532334,0.48300145701796987,1.3429251402455036,0.05024771582153233,0.05024771582153233,0.48300145701796987,0.48300145701796987,1.3429251402455036,1.3429251402455036,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, previous_deep} -> {leverage_3_to_6x}",356255,17901,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
"{burden_20_to_35pct, previous_deep} -> {leverage_over_6x}",0.037748242129935015,0.3628514381306999,2.1875658141753958,0.037748242129935015,0.037748242129935015,0.3628514381306999,0.3628514381306999,2.1875658141753958,2.1875658141753958,"['apriori', 'eclat', 'fpgrowth']","{burden_20_to_35pct, previous_deep} -> {leverage_over_6x}",356255,13448,apriori+eclat+fpgrowth,3,0.0,True,Portfolio-wide
