PC1,PC2,CLUSTER_KMEANS
-2.1610663,-3.054569,2
-1.7167457,0.80839276,3
-1.123057,-1.6958385,2
-1.1591164,1.6917326,3
-1.3971819,-2.8477054,2
-2.0044158,0.13983585,2
-1.0669928,1.6241174,3
-1.4807546,2.9532464,3
2.1875138,-1.4749627,4
-1.0369115,-2.126345,2
-1.5594882,3.279056,3
3.078794,-1.8052658,0
0.6552411,0.6335731,4
2.543459,-1.6357788,4
4.948242,-0.7335004,0
-0.72605574,-0.585685,2
-2.0380094,1.1598763,3
-1.5282847,-0.7571998,2
3.7574418,-0.6295601,4
-1.9754206,-0.40193456,2
-0.06990805,1.4789046,3
0.4744134,-2.4616687,4
-0.6237609,4.3533087,3
-0.6474496,1.566287,3
3.7659566,-2.0848148,0
-0.777636,-1.617251,2
-1.578148,0.5389464,3
5.9337296,1.7616022,0
-2.2231195,3.1231775,3
-1.4312745,-0.29507202,2
-1.5796776,-0.5338561,2
-0.9932414,1.8739992,3
-1.7756257,0.549926,3
0.6839362,-0.5458047,4
0.63744885,-0.99283445,4
-2.1473548,0.33505777,3
4.0325084,0.9643764,1
1.375663,1.5520257,4
2.942559,0.3382249,0
1.5383644,2.6578922,0
-1.7552749,1.367389,3
-1.9079309,0.8888458,3
-0.95669,-0.04221551,2
0.27813256,-0.85236686,4
-0.8712859,-1.27681,2
-2.7040718e-05,2.9296377,3
-1.467574,1.2287841,3
-1.5496618,0.8715256,3
0.56353265,-1.328936,2
-0.51927185,1.9589921,3
-1.3403294,1.7165129,3
-1.7012371,-2.3086696,2
2.5266073,2.1026416,0
-1.2718338,0.38339823,3
-2.3237662,-3.9390767,2
3.1101859,5.0691743,0
-1.9554539,0.17456701,3
-0.5419608,-2.2741394,2
-1.5150692,0.73800546,3
-2.336666,0.83977073,3
0.36629334,-0.20463037,4
-1.4209515,0.55185854,3
-2.007732,-0.8004895,2
0.41489008,1.0658234,4
0.723119,1.6712886,4
-1.4313477,1.6336752,3
-0.6053481,2.301398,3
1.0715656,2.2282202,4
-1.4252697,0.96746176,3
-0.5086786,-0.7847891,2
1.9889992,2.0876474,1
-1.9475037,1.6357977,3
3.8406394,1.6260455,0
-2.0289326,2.0456815,3
-1.8759518,-2.5204976,2
-1.7299217,1.0360552,3
3.355474,0.109609604,4
2.8378196,0.974305,1
3.7226398,1.8433685,0
3.017682,0.17701691,4
2.5230763,0.345563,0
1.6428412,-0.17963736,1
0.6976561,1.3290734,1
0.9802089,0.8065554,4
-1.4747539,-0.49697164,2
-0.576158,-1.881166,2
5.114878,-0.7618812,0
-0.25326908,1.1889079,3
0.5180982,1.7656628,3
-0.27342615,0.7606349,3
-1.4929968,-1.4875734,2
2.6094584,-1.0205034,0
-1.0886503,0.3453768,3
-1.4497006,1.9586982,3
-0.97196174,2.619333,3
0.17270471,1.6704844,3
-0.6010213,-1.6001916,2
-0.978953,-0.2427526,2
0.0030285968,-2.4454494,2
0.48486272,1.4631217,3
0.48495886,2.8976998,3
-1.4088136,-1.5753473,2
1.6488966,-0.6179945,4
-2.0655937,2.3511145,3
-1.3788404,-0.2118497,2
-2.2406137,1.5144737,3
-0.36094224,-0.74096525,2
-1.172613,1.0698329,3
0.5469205,-0.67785424,2
-1.8996278,-0.7479534,2
0.43498525,-0.3031494,4
-1.686656,2.6568696,3
-1.1568605,1.4442698,3
2.1967084,2.1143754,0
-1.8492123,1.5148848,3
-0.58924365,-2.806763,2
0.14599608,-0.67019254,4
-0.09892862,-1.3532193,2
0.3065387,2.0699887,3
-1.5959476,1.6808436,3
3.7859309,-2.165327,0
-1.2646593,1.3417138,3
-0.20315002,-0.22188914,2
-0.08128213,0.55384886,4
-1.2152182,0.71446985,3
1.3293624,0.87200415,4
-1.4497526,-0.13958025,2
-1.6128992,-0.15360647,2
1.7151266,3.5305462,1
1.6863276,2.6494923,3
-1.3673931,-1.2722443,2
-1.4634166,-0.2996051,2
-1.3016068,2.7908888,3
-0.3829982,2.1437159,3
-1.504382,2.1671414,3
-2.1471608,-2.1276758,2
0.6915298,0.72461617,4
-2.3457778,-2.2797616,2
-2.0426202,-1.6036637,2
-0.011052012,-3.038293,2
-1.6874634,0.12846348,2
-1.0993885,0.0104669,2
0.49250332,1.3608268,3
-1.9846461,-1.1647351,2
2.588612,-3.5699897,0
0.7794501,-0.76512927,4
-0.9167584,0.20302875,3
-1.6547416,1.5733464,3
-2.182664,1.6134597,3
2.0484412,1.3554724,0
-2.011313,0.34118724,2
-1.15291,1.8568339,3
3.9757805,-1.6821588,0
-1.3145064,1.4849503,3
-2.4749165,-1.955921,2
-1.4285824,-1.5392807,2
8.109758,-0.28586733,0
-2.1691747,-1.396034,2
-0.04901981,0.65853095,3
2.812686,-2.2117636,4
-1.8399664,-1.4940482,2
-1.913791,-2.6587925,2
1.2794367,-0.50363165,4
-2.1441758,-0.6955709,2
-1.9156977,2.2739093,3
5.0099487,-0.24937584,0
-1.6023993,3.3103857,3
7.1345396,-1.1351988,0
-1.7140313,-2.131346,2
0.28972614,-0.7345592,4
0.24391514,2.1741698,3
-0.73430586,-2.5527527,2
-1.9942951,0.5919222,3
-1.8986802,0.6201158,3
-0.82583505,1.0616046,3
-0.90148664,4.1023974,3
-1.8869905,1.8187548,3
3.0765448,1.9617018,0
-0.2500284,-0.94971305,2
1.673833,0.41995,0
-1.0679233,1.1065063,3
-2.6687937,4.047445,3
-2.0246427,0.8878275,3
2.179867,2.5574164,4
-1.5183827,-0.24267948,2
-2.0904763,-3.1407151,2
1.3691024,-0.7533469,4
-1.2000736,-0.9214888,2
-0.96333885,-1.6296625,2
2.4534996,1.4750423,0
3.4915783,-0.5343005,0
-0.26354325,-1.4632992,2
-1.9397341,0.059290443,2
0.49239627,-0.17089765,4
-1.978229,-0.016596261,2
-0.8676182,2.1790605,3
-1.7530566,0.4173606,3
3.0006082,1.9241626,0
-1.8389313,0.43681216,3
4.0301824,2.4920592,0
3.8479483,1.9618447,0
-1.9619759,0.45734265,3
3.5276678,-3.2067,0
-0.64149547,1.9941099,3
-2.1212783,-3.1031387,2
1.9014741,0.049084906,4
-1.1677157,-0.6653769,2
4.4647064,1.5614805,0
2.5921109,0.7658858,0
-1.5157231,1.4584765,3
-1.033167,0.6325471,3
-2.3856347,4.1335363,3
3.2595408,1.62668,0
-0.08124243,3.06641,3
-0.5674076,-0.70420915,2
-1.9322772,1.0176723,3
-1.3432516,2.4585319,3
-1.044127,-1.6139435,2
-1.0584146,-2.284775,2
1.4580063,-2.1978438,0
-2.4288409,1.3519965,3
-1.8830395,0.700074,3
-1.6075839,1.2535055,3
-1.1110221,-0.13360362,2
1.605145,-3.3995063,4
-1.738987,1.4000839,3
-1.8817407,1.2353746,3
-2.1219714,0.29612833,2
-1.5076972,0.7172652,3
-0.6477185,-4.1084905,2
-1.2331492,-2.436923,2
-0.5582487,-1.6209944,2
-0.71404445,1.7874794,3
-0.32117966,0.9124524,3
-1.4161873,-1.5614839,2
-1.8188534,-0.55106616,2
-1.9948939,-1.4431671,2
-0.31039855,0.0055181496,3
3.365011,2.0528657,0
-1.1885526,-2.92044,2
-1.1232653,1.2138494,3
-0.8170473,-0.023393799,3
3.3466327,-0.6448715,4
-0.34136242,-1.5868877,2
-0.026768599,-1.410193,4
1.2963532,2.2509954,4
-0.5760451,-0.98664576,2
3.9825714,-1.3478334,0
0.83511794,2.1480393,3
3.8061085,-0.54527324,0
-0.9717906,-1.8554825,2
-1.4429585,2.3532684,3
-1.3895928,-0.9672536,2
3.5605216,-0.82580566,4
7.443008,-2.2050686,0
-1.9171437,-2.396523,2
-0.3110621,-0.14892201,3
-1.1813223,-0.16952418,2
2.7381027,0.021537822,0
9.032923,0.63864696,0
-1.6707355,3.0045614,3
0.46470472,-1.0740027,2
-2.0652728,-2.4766254,2
1.891665,4.8322916,0
-0.16547592,-1.0227847,2
1.0195925,-1.8724673,4
0.3532316,2.4844527,3
0.7029005,0.16906248,4
3.6805718,-1.1065834,0
2.4917915,1.7924742,4
-1.7221788,1.0479928,3
-0.952878,-1.3693295,2
-0.8099549,-1.6141384,2
-0.688479,-0.48738718,2
-1.7200066,0.5077538,3
-1.4136705,0.8361261,3
-2.3424702,-1.1629328,2
-0.6994449,-0.9135652,2
2.1426277,1.225906,0
0.7459233,-0.0532303,4
-0.98752016,1.8041785,3
0.8545946,-2.2678728,4
-1.7189128,1.9086682,3
-1.7630686,1.6345013,3
-0.5342266,2.5182772,3
2.3967535,0.5931282,4
-0.6361971,2.4937294,3
-0.89908314,1.9152567,3
-1.5531605,0.81577796,3
-1.5421082,-1.2425628,2
-1.598571,0.9887127,3
2.676635,-2.4629064,4
-1.9268056,-1.5737089,2
-2.0272546,2.511949,3
0.65924186,3.8302608,3
-1.3108271,-0.40274608,2
-1.8821849,-2.9118268,2
0.8502492,-2.9974942,4
-0.86155885,-0.78967094,2
4.540979,1.0522575,4
2.5897949,-0.49641508,4
-1.9986708,0.76966643,3
-0.95097125,1.0961156,1
-0.7980921,1.8309715,3
-1.253079,-2.0606825,2
0.9348448,0.13987957,1
2.4389172,-0.19420116,0
-0.6160747,-1.4233148,2
3.4028053,4.4502535,0
-1.5625162,-0.7996785,2
-2.1284442,1.6552801,3
-0.58080035,0.0914125,3
1.3936929,-1.0688683,0
-1.7007473,0.7564321,3
1.0187286,2.887463,0
-1.6030668,-2.5131462,2
-0.44925767,1.4767994,3
-1.4143194,0.21992007,3
3.1038725,1.4823562,0
-2.0985131,-1.2733964,2
-1.827808,-1.0749211,2
-1.7926004,-1.1799142,2
0.83761215,-1.0817511,4
0.5198453,-1.0985597,1
3.5545268,0.93937474,0
0.42379427,-1.0471368,4
-1.2728341,-0.5625545,2
1.22363,0.5277171,4
-1.8798009,3.0701044,3
0.21912427,-2.3441556,2
0.76668257,3.1476188,3
-1.4506317,-0.6653952,2
-2.2316499,-1.5377295,2
-1.2529597,-1.007413,2
2.8670678,-1.3935574,1
2.5893602,0.12000853,0
0.6442323,-1.4333693,4
-2.6208494,-3.0642273,2
-2.3224127,-1.1809621,2
-0.8038175,3.9989076,3
-1.6509229,1.9261296,3
-1.9722669,2.44544,3
-0.6423041,0.87154967,3
-1.5261184,3.5222592,3
-1.5974041,0.5580654,3
-1.3356605,-1.5658791,2
-0.4026701,1.6941365,1
-1.4477397,-0.9382961,2
-0.48358393,3.543817,3
-2.413102,1.4832298,3
-2.2749991,-0.88560283,2
2.1031888,1.2211307,4
-1.4310291,3.1927502,3
0.029600201,-0.96838135,2
-2.1903384,-3.4801514,2
-2.0229378,-2.961837,2
2.8592787,2.9888237,0
2.143453,1.0466988,4
-2.134506,-1.2982911,2
-1.8390737,3.239955,3
-1.6780353,0.67086047,3
-0.24900366,-0.46177763,2
-1.0296298,1.9965353,3
3.0625253,2.2730985,0
0.35824785,1.5627338,3
1.2803892,-0.88902646,4
4.9527016,1.8169762,0
-1.489096,3.7261071,3
-0.6221855,-1.3991351,2
-1.4837443,-1.3189436,2
-1.9436042,3.1761234,3
-1.3104143,0.7248663,3
0.9037909,0.11392391,4
-0.78491575,-1.0504415,2
-1.9828707,3.0691175,3
-1.1793809,-0.16873032,3
1.9921788,-0.14029211,0
-0.9616482,-1.797517,2
0.79391444,2.1643095,3
0.21174018,0.5085246,4
-0.4031058,-1.771706,2
-0.23759174,-1.5113548,2
3.8946214,-1.8344595,0
0.0033179782,1.2954998,3
-0.31692702,-0.05770624,3
-1.2498112,2.538518,3
-0.5122465,-1.5884887,2
2.9380937,-0.64451885,4
-1.8355832,0.670433,3
1.5134529,-1.1220785,0
0.9143916,-1.1889853,4
-1.1298088,-2.5421004,2
4.2134733,-2.312974,0
-0.7264314,2.094312,3
-1.5003628,0.035150897,2
-0.62079144,0.049141932,2
-1.4696543,1.3803794,3
-0.46466523,-0.92494065,2
1.9396176,-2.247379,4
4.1526875,0.98353595,0
-2.103535,-2.6269677,2
0.589569,-3.8280396,4
3.4160774,-0.634585,4
-1.9181018,-3.2241724,2
-0.8453526,4.9559636,3
4.890662,0.18682656,0
1.3810424,-2.648245,4
0.3776331,-1.5895494,4
-1.7680722,-2.3815317,2
5.771151,0.82835793,0
0.09227825,1.629668,3
-2.1189773,1.0027244,3
-2.2792816,1.9334639,3
-1.1723741,-0.07074692,2
0.09276033,-3.2146018,2
-0.21848714,-0.12708664,3
0.92737144,-2.8305326,4
-1.2318374,0.51488143,3
0.7769998,0.56892854,4
-1.4213098,1.119062,3
-2.3359222,-1.60497,2
-0.09336209,1.7469432,3
-2.0920186,1.2684454,3
-1.218287,3.020149,3
-0.47431394,0.374296,3
-0.8828467,2.1718202,3
-2.2006273,-2.1009283,2
-0.36122644,2.3371034,3
3.4397492,-2.2044396,0
2.3330834,-0.2436429,1
0.8820883,-2.2549696,4
-1.3652238,-0.9971052,2
-1.4249406,0.2728086,3
-2.127113,-0.012231413,2
1.7942249,2.1099837,1
-0.13880774,1.9485506,3
-0.8935924,0.04633231,1
-0.1639195,-1.2158686,2
-0.8356137,-0.8291381,2
-1.9878606,-1.8723423,2
4.8912897,-0.6092548,0
-1.9632622,-0.062039174,3
1.5304576,0.82933956,4
1.0606194,-2.4348714,1
0.57115716,-2.7059712,4
0.7611643,-0.0073907897,4
-0.18659703,0.876899,3
0.03713574,2.8920374,3
-0.85504144,1.3595442,3
-0.9186503,-3.0746815,2
-2.2678864,1.7053317,3
3.2929525,0.64514893,4
-0.63789684,-1.4073452,2
-0.10339472,-2.403688,1
-2.243142,-0.48623878,2
3.8363564,1.7618663,0
-2.737486,-1.404252,2
-0.14063904,-0.2436763,4
3.5848293,-0.41869754,0
-1.9759861,-2.9541812,2
4.413211,0.5362014,0
0.20294398,1.516244,3
0.38069955,-2.2247276,1
-1.001282,-0.4816007,2
0.16572015,-0.5775865,4
-1.3826149,2.902588,3
-1.4955659,2.760166,3
-1.2833741,-2.6861835,2
-0.9909636,0.66271836,3
0.7678638,3.123958,3
4.4887505,-3.0168815,4
-1.250022,0.54378974,3
-1.5498853,-3.6072671,2
5.008625,-0.5009291,0
-0.5309834,1.5320586,3
-0.70937485,1.6298494,3
-0.9743261,0.09675087,3
2.5519392,-1.1744449,0
-1.6402428,-1.328555,2
-0.602293,1.9879885,3
0.13546774,0.37438485,4
3.523484,0.31655332,0
-1.6007853,-0.6954775,2
-0.9894117,2.6691692,3
0.3718501,-1.7867788,4
-1.9151081,-0.5804954,2
-1.123362,-3.4579847,2
-1.8711208,-0.2770971,2
0.38429686,2.6567287,3
1.6560408,1.024535,4
0.13353856,-0.20583253,2
-1.5876999,1.5840315,3
-1.6336896,3.7636232,3
0.8815041,0.9242118,0
-2.0428061,1.9529346,3
0.8874942,0.017729085,4
-1.8448924,0.14460163,2
-0.6141783,-1.5211217,2
-1.2841932,0.83228767,3
-0.62914467,1.8888454,3
-2.0290668,-1.694441,2
3.7981691,0.78520447,0
-2.0859075,0.89087397,3
-1.136108,-1.1321893,2
1.740505,0.8385773,4
-0.9291748,2.069409,3
1.7347738,-2.7833889,2
-1.7307858,-0.51569784,2
5.15173,1.4691145,0
-0.47171515,0.2403564,3
-0.3632981,1.032695,3
-2.0195854,1.3018191,3
-1.7947668,1.1929297,3
5.479138,0.8116204,0
-2.0447116,1.1443281,3
2.7595541,-2.327333,0
-1.7509588,0.5342303,3
0.44963938,-2.0527003,4
3.7287405,0.86302304,0
1.8764234,1.0823382,4
2.1515834,0.3237506,0
5.3816667,-0.7212508,0
-2.433894,-2.5734394,2
3.3436124,-1.6636039,0
4.026996,-1.6795368,0
-1.3509356,1.5467583,3
0.58376867,-1.4458237,4
-0.4248794,-3.663035,2
-2.2258508,0.66472024,3
-0.9965113,-3.148995,2
-0.58003676,-0.207412,2
2.7412682,-1.4505408,0
2.363835,-3.4099007,4
0.3320643,-1.7385231,2
0.8820274,0.1864365,4
-2.2225366,2.9528704,3
-0.9461242,0.6767796,3
-2.0798159,0.15337236,2
1.5888875,-2.8562026,2
-2.1734889,-0.36589995,2
3.7249131,-1.6176106,0
-0.26671302,-1.3760953,2
3.7070556,-0.53619784,0
-1.9958866,0.2477205,2
-0.07994914,-2.6629124,2
-1.1167759,1.198733,3
-1.5714892,1.247696,3
-1.0320879,-1.145279,2
-0.19955194,2.8441215,3
-1.6190382,3.53099,3
-2.0940213,3.3675745,3
-2.4064798,2.0536945,3
-1.1217467,-0.26090693,2
3.4686098,-0.13098355,0
1.8845657,-0.12003817,0
-1.0570893,1.7971553,3
-1.8392859,-1.6845851,2
0.6486119,2.6381514,3
-0.8012369,-0.48149264,2
-1.8374946,1.2079139,3
-1.1009499,1.2118187,3
0.74530023,0.7013195,0
-1.5787544,0.8234131,3
2.3585145,1.0095105,0
-1.2628783,-0.4557893,2
-0.91733503,-0.8441799,2
2.398966,2.8002563,0
-0.42603126,-0.9885444,2
-0.67687345,0.43933004,3
3.8876276,1.5583264,0
-1.0674185,1.1435635,3
1.4547281,-1.2902925,4
1.3388267,0.5315894,4
3.7141852,-2.8496947,0
-0.97863173,2.3489573,3
-0.94377744,-0.37613052,2
4.503468,0.19491531,0
-1.8028736,0.3749768,3
0.12637706,1.0569872,3
2.4821906,-0.21952479,0
5.689352,2.2650795,0
3.989851,-2.804032,4
3.6187322,0.10983737,0
-1.2194587,2.9307396,3
-1.3550652,0.6993199,3
-1.0467317,-0.9968067,2
1.8193536,-0.23133627,4
-0.7068646,1.4646072,3
-0.47473204,-0.40823135,2
-1.7339619,1.0153918,3
-1.7543986,-0.57728755,2
-1.404401,-1.6028436,2
-0.9562267,1.3723218,3
-0.65258527,1.8001568,3
0.33126968,-0.65117747,4
0.17821194,-0.34713256,4
5.707289,0.9417906,0
0.7872665,-1.6032144,4
-1.3305023,-0.36399734,2
0.13416573,-0.23435618,4
4.589191,-0.9463343,0
-1.890789,4.970169,3
-0.5508155,-1.8176763,2
-1.3921975,2.3360445,3
-0.8998684,-1.2803817,2
-0.74950016,-1.7492299,2
8.123599,2.430682,0
-0.84867495,-2.4512937,2
-2.35084,2.8174753,3
-1.4449002,-0.88169056,2
2.620362,-1.8109658,0
4.267515,-2.8200252,0
0.603807,1.547229,3
-1.3238767,-0.8785255,2
4.4767427,-2.9132078,0
0.44906476,-2.540977,4
-0.25094187,1.6330987,3
-1.9901687,1.0937318,3
-0.41031337,-0.69297516,2
-1.6970357,0.9250067,3
1.3240399,-0.2245804,4
1.131992,0.9768718,0
-1.7785146,1.9180219,3
-1.6041536,-1.6541545,2
-0.9107268,-1.973621,2
0.9674325,2.9303424,3
0.17788984,-1.6374054,4
2.10824,-1.9983633,4
5.267705,2.577403,0
0.99147534,2.4390678,4
2.9123747,-2.6064026,4
-0.63184345,-2.8017738,2
-0.48386705,1.1611339,3
3.8591614,0.37407392,0
-0.17936918,2.078164,3
-0.21599682,-2.0211384,2
2.1494257,3.5268703,4
2.628909,-0.26586127,0
-1.7093319,0.41564295,3
-1.0039916,1.538439,3
1.1859258,-0.63895833,4
3.6880426,2.3391504,0
2.3050354,2.448843,0
-1.844428,-1.4830856,2
-0.6742026,1.0332036,3
-1.4170612,-0.49682122,2
-1.744856,-2.5354612,2
-0.4174991,1.66225,3
1.3725109,3.099357,4
-1.6456565,-0.43499467,2
-0.40361255,-2.199139,2
5.190732,2.659741,0
2.9127245,-1.7952204,0
3.8632095,0.05141915,0
-1.9786658,1.2298746,3
0.42075598,-1.6955053,4
0.756814,0.6396269,3
-1.2053636,3.3179057,3
2.9232242,-0.6057821,0
-1.7839731,-2.0367472,2
4.7643275,-1.5236878,0
-1.9887279,-2.58959,2
-1.4605848,0.63936526,3
0.8496568,-0.47618365,4
-1.1299254,0.8031867,3
3.9805188,1.1902232,0
-2.1136198,2.4033108,3
-1.1513131,0.8591505,3
3.9312468,-2.6124449,4
-1.936503,0.62190855,3
-1.2297198,-2.1633005,2
3.0827043,-0.79180914,4
-1.1084491,0.31862077,3
7.502815,-0.35738644,0
0.095767386,-2.5299418,4
2.0866768,-2.485227,4
-1.4842079,0.56738853,3
-0.058940634,2.1372066,3
-1.8050219,-1.56284,2
-0.27567554,2.7937274,3
0.595182,-2.0646214,4
3.430339,1.2125366,4
-0.62204164,1.872469,3
-1.5168754,0.98942024,3
-0.73044586,2.2668257,3
8.793931,-3.5345793,0
-1.5589445,-0.57264644,2
-0.17802134,1.3388995,3
0.83310753,0.0850489,4
-1.2612153,-1.9693795,2
-1.5836462,-1.1049333,2
-1.1508993,-1.4051065,2
-1.1348023,0.82016784,3
-0.2151715,0.6813089,3
0.34439823,-0.085497156,4
-1.3154083,0.2956534,3
-2.3191533,-0.22471942,2
5.9378214,-1.9326074,0
2.0154862,2.7842927,4
-0.4534665,-1.8029112,1
-1.0978332,-1.5702288,2
-0.40050882,-1.3787432,2
-2.054688,-0.9546687,2
0.64581853,0.48689377,4
-1.2057989,0.3820842,3
5.444101,-2.794985,0
-1.1355724,4.761475,3
-2.3874936,-2.6458464,2
-0.9318086,-3.2658617,2
2.1244206,3.383732,0
0.41317752,-0.5198413,4
-2.0664487,2.0130284,3
0.6943691,1.4908178,3
-0.85516536,-1.4729466,2
-0.88064456,-0.22218092,2
-1.9165349,-1.8589962,2
3.284897,2.599884,0
-2.19217,0.63787645,3
3.134821,1.6435066,0
-0.9197849,3.593233,3
-1.7568138,2.2583647,3
-1.4834481,-0.16931134,2
0.12141622,-0.76215345,2
-1.5641102,-0.5894851,2
0.79074866,-2.6290061,4
-2.2129683,-1.4735255,2
5.807403,0.59154254,0
-1.3715864,-0.5585679,2
8.600084,0.79983073,4
2.062388,-1.0392483,4
-0.9241251,1.7641746,3
0.7371699,3.880144,3
-2.2504425,0.35822117,2
-2.0863297,0.7556113,3
-2.3222134,-2.3494115,2
-1.4302526,-0.5094827,2
-1.1461746,0.8780885,3
-1.4814252,-3.0604587,2
1.5177137,-1.5034097,4
-2.0960262,0.3525068,3
1.9363958,1.626727,4
-1.3353561,0.17826407,3
-1.3057075,-0.84549123,2
-2.5944567,-0.5555037,2
-1.333324,0.04745159,2
0.15404521,1.6542428,4
-1.990855,2.5258207,3
-0.5243785,-1.8991971,2
-0.14974935,1.4881389,3
-0.4774327,3.5819674,3
-1.9206427,-1.6094288,2
-1.9930197,-1.1491908,2
-0.25134858,0.41116104,4
-2.0303736,0.48510593,3
-1.3186039,-3.1010303,2
8.3354025,-3.7477732,0
-1.6144636,1.5008962,3
-0.79162735,2.687732,3
-0.11317441,-0.6438566,2
0.32492477,-0.24658276,2
-0.27441785,-2.6071153,2
3.9764109,-0.16742642,4
-1.1033628,-1.5746366,2
0.6477382,0.15046324,4
-2.0303547,2.987604,3
-2.0489388,-0.082833156,2
0.97646415,2.514366,3
-2.2550464,-1.193222,2
-0.16747753,1.1868773,3
-0.6444647,2.2227817,3
5.9618444,0.41594684,0
-1.3572804,2.6895032,3
-1.0253396,3.103275,3
-2.0497239,1.7026671,3
-0.16432503,3.0142133,3
-1.1164289,-1.0617076,2
-0.8331204,-1.6751361,2
-1.7543143,0.2835261,3
-0.4483839,-1.8098928,2
-1.6920018,-0.63006735,2
-1.1939218,-0.2705049,2
-1.4560969,2.9116075,3
-0.8928101,-1.342616,2
0.42348698,-3.8606007,4
3.825091,-2.2540832,0
0.20116638,-0.55617553,4
-1.495155,0.5990208,3
-1.6244671,2.8210688,3
-1.742107,0.025203,3
0.07324743,0.4152841,3
-1.8169701,-4.836168,2
3.419789,-2.4395332,0
-1.5166112,0.10278718,3
3.2417781,0.97533995,0
0.51265174,-0.08732839,4
-1.2891532,2.8218265,3
-2.3581212,4.7301993,3
-1.4765618,1.210771,3
1.4033453,-1.7689335,4
6.1702137,-0.087746605,0
-0.7233723,-0.098949,3
-1.4499389,4.443896,3
5.1662908,0.7021256,0
5.493559,-1.1482253,0
-1.4433194,-0.062375475,3
5.016626,-2.4209263,1
-0.20964684,-3.4819098,2
0.3750585,-0.50335926,4
-0.65375996,-2.0388322,2
0.010029359,-3.8289058,4
-1.288512,0.7014208,3
1.4338361,3.2182567,0
-1.7357954,3.1753373,3
-2.3951993,0.6548381,3
-0.27077955,-1.211733,2
0.055629175,0.6670225,3
-2.290955,-2.5828483,2
-0.74812686,-1.5949042,2
-0.4452465,-0.6898222,2
-1.5571835,-0.38040105,3
1.8597215,-0.051468153,4
-1.2492453,-0.3153132,2
0.37897938,3.7574782,3
-0.2643884,-1.436561,2
-1.8937619,1.4336312,3
0.79492104,-0.10000937,1
-2.2698803,1.7681904,3
3.4581091,0.1581875,4
-1.9308211,0.16202427,2
-1.2846457,-0.5098908,2
3.221878,-2.7662048,4
2.0593123,4.771473,0
-1.3786082,-1.5051969,2
-0.50137246,-1.9650103,2
-0.46277365,-1.6785591,2
1.9201796,-0.514665,0
-0.99395216,2.069723,3
-0.40004483,-1.0444765,2
-0.8541424,0.78245187,3
-1.5274508,1.3797865,3
1.1251434,-0.15623294,0
-1.6558036,0.95674336,3
0.16808537,-2.3804507,4
1.3427479,0.21970665,4
-1.1267827,1.8073046,3
-0.6346936,-0.6432648,2
-0.9841598,1.8594203,3
-0.86899704,-0.23727904,2
-2.0742164,1.1971129,3
-1.6839339,0.33838212,3
4.176526,-0.28353348,1
-0.93403745,-2.9635901,2
-1.6500266,-0.99133897,2
-0.1375242,-0.84387493,4
4.008063,4.170536,0
0.23518492,-2.5065758,2
-1.322485,-0.07764725,2
-0.38848326,1.0708787,3
4.8097,0.6787781,0
1.0998596,-3.509738,4
1.7879283,1.2678837,4
-0.30899313,-1.2233601,2
-1.417698,2.1644733,3
0.40107906,0.412002,4
-1.5414156,-1.7915955,2
-1.6164807,-4.06649,2
-0.2636437,-2.014375,2
0.5801681,-3.6425703,2
-1.3431519,1.1488465,3
-1.6581244,-2.6178195,2
0.7164537,0.96949124,3
4.072592,-0.60932,0
3.5665886,3.5156436,0
